partition,reference,matched_n,group_count,reference_class_count,chi_square,permutation_p,cramers_v_raw,cramers_v_bias_corrected,ari,nmi
5V-7state,mRNA,63,7,4,23.6614530512,0.1672,0.3538260495,0.172811161,0.0388936442,0.1448755537
5V-7state,ClearCode34,56,7,2,27.4937987796,0.0001,0.7006858729,0.6236517025,0.1444152386,0.2482835742
5V-7state,ClearCode34_confidence_0.6,55,7,2,26.6680876595,0.0001,0.6963291758,0.6171023789,,
5V-7state,ClearCode34_confidence_0.8,55,7,2,26.6680876595,0.0002,0.6963291758,0.6171023789,,
