partition,reference,state,state_n,dominant_reference_subtype,purity,normalized_entropy,ccA_n,ccB_n
5V-4state,ClearCode34,STATE_A,12,ccA,1.0,-0.0,12,0
5V-4state,ClearCode34,STATE_B,10,ccB,0.8,0.7219280949,2,8
5V-4state,ClearCode34,STATE_C,8,ccB,1.0,-0.0,0,8
5V-4state,ClearCode34,STATE_D,19,ccA,0.5263157895,0.9980008839,10,9
