partition,confidence_threshold,matched_n,chi_square,permutation_p,cramers_v_bias_corrected
5V-4state,0.6,48,23.5575652174,0.0001,0.6604804346
5V-4state,0.8,48,23.5575652174,0.0001,0.6604804346
