partition,reference,state,state_n,dominant_reference_subtype,purity,normalized_entropy,ccA_n,ccB_n
4V-3state,ClearCode34,STATE_A,25,ccA,0.72,0.8554508106,18,7
4V-3state,ClearCode34,STATE_B,16,ccB,0.875,0.5435644432,2,14
4V-3state,ClearCode34,STATE_C,4,ccB,0.75,0.8112781245,1,3
