partition,reference,state,reference_subtype,state_n,state_subtype_n,state_subtype_fraction,rest_n,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q
4V-3state,mRNA,STATE_A,m1,22,14,0.6363636363636364,26,1,0.038461538461538464,29.0,4.552359249,184.7393744665,1.48279e-05,0.0001779348
4V-3state,mRNA,STATE_A,m2,22,4,0.18181818181818182,26,9,0.34615384615384615,0.4480796586,0.1223397925,1.6411289923,0.3288399867,0.4384533156
4V-3state,mRNA,STATE_A,m3,22,1,0.045454545454545456,26,10,0.38461538461538464,0.1096345515,0.017637259,0.6814967615,0.0062890594,0.0251562376
4V-3state,mRNA,STATE_A,m4,22,3,0.13636363636363635,26,6,0.23076923076923078,0.5660749507,0.1341460873,2.3887454057,0.4783432495,0.5218289995
4V-3state,mRNA,STATE_B,m1,18,0,0.0,30,15,0.5,0.027027027,0.0014931444,0.4892093271,0.0002143196,0.0012859176
4V-3state,mRNA,STATE_B,m2,18,9,0.5,30,4,0.13333333333333333,5.8888888889,1.5352094062,22.5891088248,0.0085226366,0.0255679098
4V-3state,mRNA,STATE_B,m3,18,6,0.3333333333333333,30,5,0.16666666666666666,2.4109090909,0.6428048711,9.0423749197,0.2877691396,0.4316537094
4V-3state,mRNA,STATE_B,m4,18,3,0.16666666666666666,30,6,0.2,0.8511166253,0.200284467,3.6168531732,1.0,1.0
4V-3state,mRNA,STATE_C,m1,8,1,0.125,40,14,0.35,0.3655172414,0.0565420405,2.3628940966,0.4056363643,0.4867636372
4V-3state,mRNA,STATE_C,m2,8,0,0.0,40,13,0.325,0.1198257081,0.0064262505,2.234304489,0.0875624489,0.1751248978
4V-3state,mRNA,STATE_C,m3,8,4,0.5,40,7,0.175,4.4666666667,0.9692933444,20.5831508357,0.0681190553,0.1634857327
4V-3state,mRNA,STATE_C,m4,8,3,0.375,40,6,0.15,3.3776223776,0.6952574667,16.4087887905,0.1588513179,0.272316545
