partition,confidence_threshold,matched_n,chi_square,permutation_p,cramers_v_bias_corrected
5V-7state,0.6,55,26.6680876595,0.0001,0.6171023789
5V-7state,0.8,55,26.6680876595,0.0002,0.6171023789
