reference_subtype,CORE01,CORE02,CORE03,CORE04
m1,84.6153846154,0.0,7.6923076923,7.6923076923
m2,45.4545454545,45.4545454545,0.0,9.0909090909
m3,14.2857142857,35.7142857143,35.7142857143,14.2857142857
m4,0.0,50.0,50.0,0.0
