partition,reference,state,reference_subtype,state_n,state_subtype_n,state_subtype_fraction,rest_n,rest_subtype_n,rest_subtype_fraction,odds_ratio,ci_low,ci_high,fisher_p,bh_q
5V-4state,mRNA,STATE_A,m1,13,9,0.6923076923076923,43,13,0.3023255813953488,4.7695473251,1.3106382565,17.3568729384,0.021349072,0.2893799544
5V-4state,mRNA,STATE_A,m2,13,3,0.23076923076923078,43,9,0.20930232558139536,1.2105263158,0.2964775164,4.9426141288,1.0,1.0
5V-4state,mRNA,STATE_A,m3,13,1,0.07692307692307693,43,13,0.3023255813953488,0.2711111111,0.0443340137,1.6578971394,0.149288519,0.5487709824
5V-4state,mRNA,STATE_A,m4,13,0,0.0,43,8,0.18604651162790697,0.1546840959,0.0083404984,2.8687937337,0.1765260112,0.5487709824
5V-4state,mRNA,STATE_B,m1,9,3,0.3333333333333333,47,19,0.40425531914893614,0.7869822485,0.1899561379,3.2604424706,1.0,1.0
5V-4state,mRNA,STATE_B,m2,9,1,0.1111111111111111,47,11,0.23404255319148937,0.5601023018,0.0873634649,3.5909128471,0.6661605019,1.0
5V-4state,mRNA,STATE_B,m3,9,4,0.4444444444444444,47,10,0.2127659574468085,2.9220779221,0.7052959833,12.1063207289,0.2057891184,0.5487709824
5V-4state,mRNA,STATE_B,m4,9,1,0.1111111111111111,47,7,0.14893617021276595,0.9529411765,0.1421525087,6.3881875463,1.0,1.0
5V-4state,mRNA,STATE_C,m1,11,1,0.09090909090909091,45,21,0.4666666666666667,0.1627906977,0.0267424014,0.9909660254,0.0361724943,0.2893799544
5V-4state,mRNA,STATE_C,m2,11,3,0.2727272727272727,45,9,0.2,1.5820433437,0.3767145753,6.6439190439,0.6857708702,1.0
5V-4state,mRNA,STATE_C,m3,11,4,0.36363636363636365,45,10,0.2222222222222222,2.0285714286,0.5225012489,7.8757745551,0.4389664258,1.0
5V-4state,mRNA,STATE_C,m4,11,3,0.2727272727272727,45,5,0.1111111111111111,3.0320855615,0.6561300703,14.0117688059,0.1814768288,0.5487709824
5V-4state,mRNA,STATE_D,m1,23,9,0.391304347826087,33,13,0.3939393939393939,0.9948914432,0.3418352563,2.8955731321,1.0,1.0
5V-4state,mRNA,STATE_D,m2,23,5,0.21739130434782608,33,7,0.21212121212121213,1.0504504505,0.3008620735,3.6676146513,1.0,1.0
5V-4state,mRNA,STATE_D,m3,23,5,0.21739130434782608,33,9,0.2727272727272727,0.7667140825,0.2283295548,2.5745702734,0.7585480424,1.0
5V-4state,mRNA,STATE_D,m4,23,4,0.17391304347826086,33,4,0.12121212121212122,1.5128205128,0.3633384235,6.298882133,0.7041015071,1.0
