state,m1,m2,m3,m4
CORE01,69.2307692308,23.0769230769,7.6923076923,0.0
CORE02,50.0,10.0,30.0,10.0
CORE03,9.0909090909,27.2727272727,36.3636363636,27.2727272727
CORE04,44.4444444444,0.0,22.2222222222,33.3333333333
CORE05,22.2222222222,33.3333333333,33.3333333333,11.1111111111
CORE06,16.6666666667,16.6666666667,50.0,16.6666666667
CORE07,60.0,40.0,0.0,0.0
