partition,confidence_threshold,matched_n,chi_square,permutation_p,cramers_v_bias_corrected
5V-stable-cores,0.6,37,26.0876811594,0.0001,0.7996893807
5V-stable-cores,0.8,37,26.0876811594,0.0001,0.7996893807
