reference_subtype,CORE01,CORE02,CORE03,CORE04,CORE05,CORE06,CORE07
ccA,44.4444444444,14.8148148148,0.0,25.9259259259,7.4074074074,3.7037037037,3.7037037037
ccB,0.0,27.5862068966,27.5862068966,6.8965517241,17.2413793103,13.7931034483,6.8965517241
