partition,reference,state,state_n,dominant_reference_subtype,purity,normalized_entropy,ccA_n,ccB_n
5V-stable-cores,ClearCode34,CORE01,15,ccA,0.8666666667,0.5665095066,13,2
5V-stable-cores,ClearCode34,CORE02,10,ccB,1.0,-0.0,0,10
5V-stable-cores,ClearCode34,CORE03,6,ccB,1.0,-0.0,0,6
5V-stable-cores,ClearCode34,CORE04,6,ccB,0.8333333333,0.6500224216,1,5
