partition,confidence_threshold,matched_n,chi_square,permutation_p,cramers_v_bias_corrected
4V-3state,0.6,44,16.6136666667,0.0001,0.5821978745
4V-3state,0.8,44,16.6136666667,0.0003,0.5821978745
