state,m1,m2,m3,m4
STATE_A,69.2307692308,23.0769230769,7.6923076923,0.0
STATE_B,33.3333333333,11.1111111111,44.4444444444,11.1111111111
STATE_C,9.0909090909,27.2727272727,36.3636363636,27.2727272727
STATE_D,39.1304347826,21.7391304348,21.7391304348,17.3913043478
