partition,reference,state,state_n,dominant_reference_subtype,purity,normalized_entropy,m1_n,m2_n,m3_n,m4_n
5V-stable-cores,mRNA,CORE01,18,m1,0.6111111111,0.6498683818,11,5,2,0
5V-stable-cores,mRNA,CORE02,12,m2,0.4166666667,0.7416778775,0,5,5,2
5V-stable-cores,mRNA,CORE03,8,m3,0.625,0.6493974703,1,0,5,2
5V-stable-cores,mRNA,CORE04,4,m3,0.5,0.75,1,1,2,0
