partition,reference,total,matched,unmatched,coverage
all,mRNA,103,84,19,0.8155339805825242
all,ClearCode34,103,76,27,0.7378640776699029
5V-stable-cores,mRNA,56,42,14,0.75
5V-stable-cores,ClearCode34,56,37,19,0.6607142857142857
