partition,group_a,group_b,n_a,n_b,median_a,median_b,p_value,holm_p
4V-3state,STATE_A,STATE_B,25,16,0.9999249,-0.999999634,5.76371e-05,0.0001729113
4V-3state,STATE_A,STATE_C,25,4,0.9999249,-0.9850997815,0.0202938824,0.0304408236
4V-3state,STATE_B,STATE_C,16,4,-0.999999634,-0.9850997815,0.6819401445,0.6819401445
