partition,group_a,group_b,n_a,n_b,median_a,median_b,p_value,holm_p
5V-4state,STATE_A,STATE_B,12,10,0.9999998526,-0.99623,0.0006842598,0.0020527794
5V-4state,STATE_A,STATE_C,12,8,0.9999998526,-0.999999634,1.58768e-05,9.52608e-05
5V-4state,STATE_A,STATE_D,12,19,0.9999998526,0.044,0.0425630847,0.0851261694
5V-4state,STATE_B,STATE_C,10,8,-0.99623,-0.999999634,0.236985237,0.2843822844
5V-4state,STATE_B,STATE_D,10,19,-0.99623,0.044,0.3238938699,0.3238938699
5V-4state,STATE_C,STATE_D,8,19,-0.999999634,0.044,0.1795335743,0.2693003615
