modality,omnibus_feature_count,omnibus_fdr_significant_count,posthoc_row_count
rna_hallmark,50,49,490
ct_radiomics,308,304,3040
cnv_continuous,54,46,460
WXS,22,17,170
CNV event secondary,102,99,990
clinical,6,5,50
WSI affinity,,,10
