feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared,clinical_variable,levels,chi_square,permutations
age,5,59,18;14;11;11;5,12.95014264,0.01152199,0.00312,0.16574338,,,,
,5,59,,,0.0844,0.00312,,gender,female;male,7.98353217,9999
,5,59,,,0.0243,0.00312,,stage_group,I;II;III;IV,23.21267356,9999
,5,59,,,0.2549,0.00312,,t_stage,T1a;T1b;T2;T2b;T3a;T3b;T4,27.96048137,9999
,5,57,,,0.0026,0.00312,,m_stage,M0;M1,16.54537172,9999
,5,59,,,0.0527,0.0527,,grade,G2;G3;G4,15.26046777,9999
