feature,group_count,mutated_n,total_n,chi_square,p_value,q_value,permutations
mutation::ARID1A,5,1,59,3.26970443,0.6987,0.01791429,9999
mutation::ATM,5,3,59,3.91047808,0.455,0.01791429,9999
mutation::BAP1,5,9,59,15.35941126,0.0056,0.01791429,9999
mutation::CDKN2A,5,0,59,0.0,1.0,0.01791429,9999
mutation::DST,5,2,59,1.80729602,0.8576,0.01791429,9999
mutation::ELOC,5,0,59,0.0,1.0,0.01791429,9999
mutation::FLG,5,2,59,22.35789474,0.0057,0.01791429,9999
mutation::KDM5C,5,4,59,4.75064935,0.3212,0.03714118,9999
mutation::KMT2C,5,0,59,0.0,1.0,0.03714118,9999
mutation::LYST,5,5,59,1.28099781,0.9147,0.03714118,9999
mutation::MTOR,5,2,59,1.80729602,0.8578,0.03714118,9999
mutation::MUC16,5,6,59,1.56620109,0.853,0.03714118,9999
mutation::PBRM1,5,20,59,8.77942354,0.0618,0.03714118,9999
mutation::PIK3CA,5,2,59,6.65413534,0.188,0.03714118,9999
mutation::PTEN,5,3,59,3.91047808,0.4553,0.03714118,9999
mutation::SETD2,5,3,59,3.61447468,0.5486,0.03714118,9999
mutation::SPTA1,5,3,59,13.79220779,0.0287,0.03714118,9999
mutation::TP53,5,2,59,6.81275917,0.132,0.16133333,9999
mutation::TSC1,5,0,59,0.0,1.0,0.6014381,9999
mutation::TSC2,5,2,59,1.80729602,0.8532,0.6014381,9999
mutation::TTN,5,6,59,2.91832793,0.5741,0.6014381,9999
mutation::VHL,5,34,59,1.0654756,0.8981,0.8981,9999
