feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,5,59,18;14;11;11;5,estimable,,4.13795045,0.3876581,0.50167519,0.00255464
original_shape_Flatness,5,59,18;14;11;11;5,estimable,,4.28571477,0.36871732,0.49101728,0.00529101
original_shape_LeastAxisLength,5,59,18;14;11;11;5,estimable,,10.6289021,0.03106697,0.20136071,0.12275745
original_shape_MajorAxisLength,5,59,18;14;11;11;5,estimable,,8.28147039,0.08179501,0.2649082,0.07928649
original_shape_Maximum2DDiameterColumn,5,59,18;14;11;11;5,estimable,,12.21836232,0.01579923,0.18208081,0.15219189
original_shape_Maximum2DDiameterRow,5,59,18;14;11;11;5,estimable,,12.44770025,0.01431479,0.18208081,0.15643889
original_shape_Maximum2DDiameterSlice,5,59,18;14;11;11;5,estimable,,6.38738181,0.172026,0.33115005,0.04421077
original_shape_MeshVolume,5,59,18;14;11;11;5,estimable,,9.36338885,0.05263127,0.20839607,0.09932202
original_shape_MinorAxisLength,5,59,18;14;11;11;5,estimable,,11.41485362,0.02227676,0.18208081,0.1373121
original_shape_Sphericity,5,59,18;14;11;11;5,estimable,,6.16424829,0.1872133,0.34735962,0.04007867
original_shape_SurfaceVolumeRatio,5,59,18;14;11;11;5,estimable,,9.40617996,0.05171115,0.20839607,0.10011444
original_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,1.21439039,0.8757237,0.89907633,0.0
original_firstorder_90Percentile,5,59,18;14;11;11;5,estimable,,3.75447257,0.44025284,0.5423915,0.0
original_firstorder_Energy,5,59,18;14;11;11;5,estimable,,10.14615941,0.03803632,0.20447968,0.11381777
original_firstorder_InterquartileRange,5,59,18;14;11;11;5,estimable,,5.01270282,0.28599659,0.42969244,0.01875376
original_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,0.46224423,0.97707089,0.98025353,0.0
original_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,4.7302683,0.31610959,0.45496147,0.01352349
original_firstorder_Mean,5,59,18;14;11;11;5,estimable,,2.41171962,0.66051038,0.73313006,0.0
original_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,16.03190452,0.00297665,0.18208081,0.22281305
original_firstorder_Range,5,59,18;14;11;11;5,estimable,,12.61138455,0.01333933,0.18208081,0.15947008
original_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,3.13062294,0.53620884,0.6175449,0.0
original_firstorder_Uniformity,5,59,18;14;11;11;5,estimable,,5.81586519,0.21332806,0.36101672,0.03362713
original_firstorder_Variance,5,59,18;14;11;11;5,estimable,,6.72252256,0.15129859,0.32626264,0.05041708
original_glcm_Correlation,5,59,18;14;11;11;5,estimable,,11.76196101,0.01921202,0.18208081,0.14374002
original_glcm_Idmn,5,59,18;14;11;11;5,estimable,,8.78709419,0.06664709,0.2432139,0.08864989
original_glcm_Idn,5,59,18;14;11;11;5,estimable,,9.86719691,0.04272515,0.20447968,0.10865179
original_glcm_Imc1,5,59,18;14;11;11;5,estimable,,9.43484482,0.0511034,0.20839607,0.10064527
original_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,8.25808497,0.08256879,0.2649082,0.07885343
original_glrlm_LowGrayLevelRunEmphasis,5,59,18;14;11;11;5,estimable,,6.52366327,0.1633055,0.32626264,0.0467345
original_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,12.23178565,0.01570836,0.18208081,0.15244048
original_glrlm_RunLengthNonUniformity,5,59,18;14;11;11;5,estimable,,8.15291706,0.08613455,0.26797416,0.07690587
original_glszm_GrayLevelNonUniformity,5,59,18;14;11;11;5,estimable,,6.00670922,0.19864778,0.35366194,0.03716128
original_glszm_LargeAreaEmphasis,5,59,18;14;11;11;5,estimable,,9.87435615,0.04259816,0.20447968,0.10878437
original_glszm_LargeAreaHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,10.11198229,0.03858302,0.20447968,0.11318486
original_glszm_SizeZoneNonUniformity,5,59,18;14;11;11;5,estimable,,4.28377284,0.36896148,0.49101728,0.00525505
original_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,7.80522122,0.09897948,0.28147664,0.07046706
original_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,4.85093599,0.30293716,0.44643371,0.01575807
original_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,3.41927556,0.49025833,0.58136439,0.0
original_gldm_DependenceEntropy,5,59,18;14;11;11;5,estimable,,8.11770196,0.08736054,0.26907046,0.07625374
original_gldm_GrayLevelNonUniformity,5,59,18;14;11;11;5,estimable,,6.276753,0.17941155,0.34110344,0.04216209
original_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,8.07734439,0.08878571,0.27075246,0.07550638
log-sigma-1-0-mm-3D_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,5.48272116,0.24125248,0.38903541,0.0274578
log-sigma-1-0-mm-3D_firstorder_90Percentile,5,59,18;14;11;11;5,estimable,,6.03191039,0.19677783,0.35366194,0.03762797
log-sigma-1-0-mm-3D_firstorder_Energy,5,59,18;14;11;11;5,estimable,,8.99074963,0.06133111,0.23320965,0.09242129
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,5,59,18;14;11;11;5,estimable,,5.34394062,0.25379157,0.40086053,0.02488779
log-sigma-1-0-mm-3D_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,3.38508034,0.49556581,0.58136439,0.0
