feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr16q,CORE04,CORE05,11,5,0.0591,0.03869057,0.06363448,-0.02404912,0.23636364,-0.41909091,0.78181818,0.50961538,1.0
chr17p,CORE01,CORE02,18,14,0.0085,0.00635294,0.01445511,-0.0174863,0.17460317,-0.26984127,0.57142857,0.41408991,1.0
chr17p,CORE01,CORE03,18,11,0.0085,0.0132,0.01445511,-0.04137665,-0.12121212,-0.58585859,0.33358586,0.60523535,1.0
chr17p,CORE01,CORE04,18,11,0.0085,0.0261,0.01445511,0.0271819,-0.21212121,-0.70707071,0.31313131,0.35683825,1.0
chr17p,CORE01,CORE05,18,5,0.0085,0.0141,0.01445511,0.00412366,-0.04444444,-0.77833333,0.68944444,0.91384588,1.0
chr17p,CORE02,CORE03,14,11,0.00635294,0.0132,-0.0174863,-0.04137665,-0.14935065,-0.62337662,0.35064935,0.54696805,1.0
chr17p,CORE02,CORE04,14,11,0.00635294,0.0261,-0.0174863,0.0271819,-0.31168831,-0.75324675,0.18181818,0.1982669,1.0
chr17p,CORE02,CORE05,14,5,0.00635294,0.0141,-0.0174863,0.00412366,-0.14285714,-0.74285714,0.515,0.68679051,1.0
chr17p,CORE03,CORE04,11,11,0.0132,0.0261,-0.04137665,0.0271819,-0.2231405,-0.68595041,0.2731405,0.39330164,1.0
chr17p,CORE03,CORE05,11,5,0.0132,0.0141,-0.04137665,0.00412366,-0.12727273,-0.74545455,0.52727273,0.74267399,1.0
chr17p,CORE04,CORE05,11,5,0.0261,0.0141,0.0271819,0.00412366,0.18181818,-0.49090909,0.81818182,0.60993074,1.0
chr17q,CORE01,CORE02,18,14,0.00925,0.00857789,0.0150184,0.01448747,0.07936508,-0.33353175,0.50793651,0.71819277,1.0
chr17q,CORE01,CORE03,18,11,0.00925,0.0132,0.0150184,-0.03682027,-0.09090909,-0.55555556,0.3739899,0.70242681,1.0
chr17q,CORE01,CORE04,18,11,0.00925,0.06523763,0.0150184,0.05313268,-0.53535354,-0.93939394,-0.06035354,0.01828974,1.0
chr17q,CORE01,CORE05,18,5,0.00925,0.00835104,0.0150184,0.00549287,0.04444444,-0.64444444,0.75611111,0.91384588,1.0
chr17q,CORE02,CORE03,14,11,0.00857789,0.0132,0.01448747,-0.03682027,-0.05844156,-0.53246753,0.41558442,0.82663316,1.0
chr17q,CORE02,CORE04,14,11,0.00857789,0.06523763,0.01448747,0.05313268,-0.42857143,-0.84415584,0.03896104,0.07520551,1.0
chr17q,CORE02,CORE05,14,5,0.00857789,0.00835104,0.01448747,0.00549287,0.0,-0.65714286,0.6,1.0,1.0
chr17q,CORE03,CORE04,11,11,0.0132,0.06523763,-0.03682027,0.05313268,-0.52066116,-0.91735537,-0.05785124,0.041789,1.0
chr17q,CORE03,CORE05,11,5,0.0132,0.00835104,-0.03682027,0.00549287,0.01818182,-0.63636364,0.70909091,1.0,1.0
chr17q,CORE04,CORE05,11,5,0.06523763,0.00835104,0.05313268,0.00549287,0.34545455,-0.30909091,0.92727273,0.31959707,1.0
chr18p,CORE01,CORE02,18,14,0.0204,-0.00235,-0.0055902,-0.04191932,0.28571429,-0.15873016,0.69861111,0.17748686,1.0
chr18p,CORE01,CORE03,18,11,0.0204,0.0374,-0.0055902,0.02668856,-0.34343434,-0.74772727,0.12121212,0.13209323,1.0
chr18p,CORE01,CORE04,18,11,0.0204,-0.00835413,-0.0055902,-0.01527087,0.11111111,-0.42424242,0.63661616,0.63696968,1.0
chr18p,CORE01,CORE05,18,5,0.0204,-0.0801,-0.0055902,-0.10560619,0.55555556,-0.15555556,1.0,0.06668846,1.0
