group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
CORE01,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,18,41,0.49965999,0.5177821,-0.2303523,,,0.1642095,descriptive_secondary
CORE01,HALLMARK_SPERMATOGENESIS,18,41,-0.17504216,-0.18233087,0.11382114,,,0.49449334,descriptive_secondary
CORE01,HALLMARK_TGF_BETA_SIGNALING,18,41,0.50183386,0.46387644,0.3902439,,,0.01816096,descriptive_secondary
CORE01,HALLMARK_TNFA_SIGNALING_VIA_NFKB,18,41,0.40178343,0.41967553,-0.17073171,,,0.30353372,descriptive_secondary
CORE01,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,18,41,0.41262813,0.4333073,-0.31436314,,,0.05725233,descriptive_secondary
CORE01,HALLMARK_UV_RESPONSE_DN,18,41,0.27084454,0.23748653,0.3902439,,,0.01816096,descriptive_secondary
CORE01,HALLMARK_UV_RESPONSE_UP,18,41,0.39727953,0.40043549,-0.04336043,,,0.79859684,descriptive_secondary
CORE01,HALLMARK_WNT_BETA_CATENIN_SIGNALING,18,41,0.18251437,0.14822175,0.24661247,,,0.13627013,descriptive_secondary
CORE01,HALLMARK_XENOBIOTIC_METABOLISM,18,41,0.3469653,0.3384846,0.11924119,,,0.47392716,descriptive_secondary
CORE02,HALLMARK_ADIPOGENESIS,14,45,0.43600896,0.4771946,-0.6031746,,,0.00073441,descriptive_secondary
CORE02,HALLMARK_ALLOGRAFT_REJECTION,14,45,0.27426189,0.21380909,0.39047619,,,0.02906281,descriptive_secondary
CORE02,HALLMARK_ANDROGEN_RESPONSE,14,45,0.34640937,0.42344574,-0.67619048,,,0.00015297,descriptive_secondary
CORE02,HALLMARK_ANGIOGENESIS,14,45,0.5263757,0.46912047,0.27301587,,,0.12766139,descriptive_secondary
CORE02,HALLMARK_APICAL_JUNCTION,14,45,0.30837211,0.29494401,0.35555556,,,0.04696209,descriptive_secondary
CORE02,HALLMARK_APICAL_SURFACE,14,45,0.09447274,0.08545271,0.02222222,,,0.90780059,descriptive_secondary
CORE02,HALLMARK_APOPTOSIS,14,45,0.45222771,0.43919843,0.27619048,,,0.12326654,descriptive_secondary
CORE02,HALLMARK_BILE_ACID_METABOLISM,14,45,0.13396781,0.1875036,-0.52380952,,,0.00337911,descriptive_secondary
CORE02,HALLMARK_CHOLESTEROL_HOMEOSTASIS,14,45,0.33310299,0.31964402,0.16507937,,,0.35882993,descriptive_secondary
CORE02,HALLMARK_COAGULATION,14,45,0.41697777,0.36795096,0.67619048,,,0.00015297,descriptive_secondary
CORE02,HALLMARK_COMPLEMENT,14,45,0.32205333,0.30407547,0.2984127,,,0.09572767,descriptive_secondary
CORE02,HALLMARK_DNA_REPAIR,14,45,0.31111096,0.29348747,0.51111111,,,0.00424048,descriptive_secondary
CORE02,HALLMARK_E2F_TARGETS,14,45,0.08876937,0.09625789,0.01904762,,,0.92193564,descriptive_secondary
CORE02,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,45,0.44055719,0.40201351,0.44126984,,,0.01359796,descriptive_secondary
CORE02,HALLMARK_ESTROGEN_RESPONSE_EARLY,14,45,0.21097745,0.24614108,-0.38095238,,,0.03323927,descriptive_secondary
CORE02,HALLMARK_ESTROGEN_RESPONSE_LATE,14,45,0.24272235,0.24796088,-0.15555556,,,0.38750842,descriptive_secondary
CORE02,HALLMARK_FATTY_ACID_METABOLISM,14,45,0.36557768,0.42528863,-0.63809524,,,0.00035374,descriptive_secondary
CORE02,HALLMARK_G2M_CHECKPOINT,14,45,0.09716994,0.0924364,0.03174603,,,0.86558785,descriptive_secondary
CORE02,HALLMARK_GLYCOLYSIS,14,45,0.38868,0.392751,0.0952381,,,0.59915658,descriptive_secondary
CORE02,HALLMARK_HEDGEHOG_SIGNALING,14,45,0.13887912,0.13288516,0.10793651,,,0.5505852,descriptive_secondary
CORE02,HALLMARK_HEME_METABOLISM,14,45,0.28687132,0.32802387,-0.7047619,,,7.928e-05,descriptive_secondary
CORE02,HALLMARK_HYPOXIA,14,45,0.47992678,0.45882313,0.49206349,,,0.00590896,descriptive_secondary
CORE02,HALLMARK_IL2_STAT5_SIGNALING,14,45,0.29327745,0.27628294,0.22539683,,,0.20906962,descriptive_secondary
CORE02,HALLMARK_IL6_JAK_STAT3_SIGNALING,14,45,0.34376154,0.29266954,0.33650794,,,0.06014388,descriptive_secondary
CORE02,HALLMARK_INFLAMMATORY_RESPONSE,14,45,0.2283079,0.19842935,0.19365079,,,0.28105443,descriptive_secondary
CORE02,HALLMARK_INTERFERON_ALPHA_RESPONSE,14,45,0.41640835,0.41174886,0.14285714,,,0.42785064,descriptive_secondary
CORE02,HALLMARK_INTERFERON_GAMMA_RESPONSE,14,45,0.35732708,0.35429276,0.15555556,,,0.38750842,descriptive_secondary
CORE02,HALLMARK_KRAS_SIGNALING_DN,14,45,-0.1494497,-0.14879423,-0.02222222,,,0.90780059,descriptive_secondary
CORE02,HALLMARK_KRAS_SIGNALING_UP,14,45,0.22696482,0.20568019,0.21587302,,,0.22910188,descriptive_secondary
