modality,group_a,group_b,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,CORE01,CORE02,estimable,,2.890976,0.612,9999,0,0.0,0.0,[],0.03633333
ct,CORE01,CORE03,estimable,,12.550454,0.6056,9999,0,0.0,0.0,[],0.03633333
ct,CORE01,CORE04,estimable,,32.928874,0.0485,9999,0,0.0,0.0,[],0.03633333
ct,CORE01,CORE05,estimable,,134.363359,0.8289,9999,0,0.0,0.0,[],0.03633333
ct,CORE02,CORE03,estimable,,6.226987,0.2426,9999,0,0.0,0.0,[],0.03633333
ct,CORE02,CORE04,estimable,,24.821036,0.0218,9999,0,0.0,0.0,[],0.03633333
ct,CORE02,CORE05,estimable,,203.101436,0.0714,9999,0,0.0,0.0,[],0.102
ct,CORE03,CORE04,estimable,,2.075774,0.1365,9999,0,0.0,0.0,[],0.170625
ct,CORE03,CORE05,estimable,,41.646038,0.8319,9999,0,0.0,0.0,[],0.7847
ct,CORE04,CORE05,estimable,,39.024533,0.7847,9999,0,0.0,0.0,[],0.7847
wsi,CORE01,CORE02,estimable,,1.223949,0.3153,9999,0,0.0,0.0,[],0.7818
wsi,CORE01,CORE03,estimable,,0.117958,0.8104,9999,0,0.0,0.0,[],0.7818
wsi,CORE01,CORE04,estimable,,0.314783,0.6693,9999,0,0.0,0.0,[],0.7818
wsi,CORE01,CORE05,estimable,,0.846105,0.903,9999,0,0.0,0.0,[],0.7818
wsi,CORE02,CORE03,estimable,,0.620542,0.4971,9999,0,0.0,0.0,[],0.7818
wsi,CORE02,CORE04,estimable,,0.504659,0.6208,9999,0,0.0,0.0,[],0.7818
wsi,CORE02,CORE05,estimable,,8.749358,0.5921,9999,0,0.0,0.0,[],0.7818
wsi,CORE03,CORE04,estimable,,0.047154,0.8229,9999,0,0.0,0.0,[],0.7818
wsi,CORE03,CORE05,estimable,,2.083544,0.8549,9999,0,0.0,0.0,[],0.7818
wsi,CORE04,CORE05,estimable,,5.420401,0.7818,9999,0,0.0,0.0,[],0.7818
rna,CORE01,CORE02,estimable,,1.208149,0.5073,9999,0,0.0,0.0,[],0.5871
rna,CORE01,CORE03,estimable,,3.134134,0.3484,9999,1,0.012399,0.000996,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.5871
rna,CORE01,CORE04,estimable,,4.763504,0.6148,9999,0,0.0,0.0,[],0.5871
rna,CORE01,CORE05,estimable,,18.556422,0.4696,9999,0,0.0,0.0,[],0.5871
rna,CORE02,CORE03,estimable,,1.195384,0.364,9999,1,0.012281,0.001126,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.5871
rna,CORE02,CORE04,estimable,,1.514247,0.3937,9999,0,0.0,0.0,[],0.5871
rna,CORE02,CORE05,estimable,,15.968486,0.4565,9999,0,0.0,0.0,[],0.5871
rna,CORE03,CORE04,estimable,,0.173298,0.6932,9999,1,0.012023,0.001277,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.5871
rna,CORE03,CORE05,estimable,,0.743709,0.7795,9999,1,0.012113,0.001816,['Negative PCoA eigenvalues were discarded; PERMDISP is an approximate diagnostic.'],0.5871
rna,CORE04,CORE05,estimable,,8.533379,0.5871,9999,0,0.0,0.0,[],0.5871
genomic,CORE01,CORE02,estimable,,797.91228,0.9962,9999,0,0.0,0.0,[],0.52488889
genomic,CORE01,CORE03,estimable,,2296.820082,0.9932,9999,0,0.0,0.0,[],0.52488889
genomic,CORE01,CORE04,estimable,,1822.32845,0.9998,9999,0,0.0,0.0,[],0.52488889
genomic,CORE01,CORE05,estimable,,27645.901417,0.9008,9999,0,0.0,0.0,[],0.52488889
genomic,CORE02,CORE03,estimable,,1224.1438,0.9366,9999,0,0.0,0.0,[],0.52488889
genomic,CORE02,CORE04,estimable,,787.510262,0.9172,9999,0,0.0,0.0,[],0.52488889
genomic,CORE02,CORE05,estimable,,86833.523161,0.7112,9999,0,0.0,0.0,[],0.52488889
genomic,CORE03,CORE04,estimable,,0.221513,0.4867,9999,0,0.0,0.0,[],0.52488889
genomic,CORE03,CORE05,estimable,,13939.632243,0.4724,9999,0,0.0,0.0,[],0.52488889
genomic,CORE04,CORE05,estimable,,8342.904338,0.6814,9999,0,0.0,0.0,[],0.6814
fused,CORE01,CORE02,estimable,,830.730912,0.9927,9999,0,0.0,0.0,[],0.1161
fused,CORE01,CORE03,estimable,,3175.382792,0.9891,9999,0,0.0,0.0,[],0.1161
fused,CORE01,CORE04,estimable,,3575.728796,0.9681,9999,0,0.0,0.0,[],0.1161
fused,CORE01,CORE05,estimable,,30393.548349,0.3527,9999,0,0.0,0.0,[],0.1161
fused,CORE02,CORE03,estimable,,2271.164188,0.7919,9999,0,0.0,0.0,[],0.1161
fused,CORE02,CORE04,estimable,,3344.7189,0.7273,9999,0,0.0,0.0,[],0.1161
fused,CORE02,CORE05,estimable,,88390.884283,0.3821,9999,0,0.0,0.0,[],0.1161
fused,CORE03,CORE04,estimable,,0.002067,0.9462,9999,0,0.0,0.0,[],0.1161
fused,CORE03,CORE05,estimable,,31147.159005,0.1312,9999,0,0.0,0.0,[],0.1161
fused,CORE04,CORE05,estimable,,53127.474986,0.1161,9999,0,0.0,0.0,[],0.1161
