modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,CORE01,CORE02,18,14,estimable,,32,2,0.035049,1.089652,0.0801,9999,0.11442857
ct,CORE01,CORE03,18,11,estimable,,29,2,0.038849,1.091312,0.0762,9999,0.11442857
ct,CORE01,CORE04,18,11,estimable,,29,2,0.039978,1.124354,0.0394,9999,0.0788
ct,CORE01,CORE05,18,5,estimable,,23,2,0.047769,1.053473,0.1761,9999,0.19566667
ct,CORE02,CORE03,14,11,estimable,,25,2,0.04427,1.065363,0.1227,9999,0.153375
ct,CORE02,CORE04,14,11,estimable,,25,2,0.051756,1.255366,0.0005,9999,0.0035
ct,CORE02,CORE05,14,5,estimable,,19,2,0.056435,1.016771,0.3292,9999,0.3292
ct,CORE03,CORE04,11,11,estimable,,22,2,0.057856,1.228173,0.0007,9999,0.0035
ct,CORE03,CORE05,11,5,estimable,,16,2,0.073838,1.116141,0.0333,9999,0.0788
ct,CORE04,CORE05,11,5,estimable,,16,2,0.074282,1.123396,0.0212,9999,0.07066667
wsi,CORE01,CORE02,18,14,estimable,,32,2,0.06872,2.213721,0.0004,9999,0.00133333
wsi,CORE01,CORE03,18,11,estimable,,29,2,0.077279,2.261271,0.0004,9999,0.00133333
wsi,CORE01,CORE04,18,11,estimable,,29,2,0.07395,2.156106,0.0008,9999,0.002
wsi,CORE01,CORE05,18,5,estimable,,23,2,0.079994,1.825939,0.005,9999,0.00714286
wsi,CORE02,CORE03,14,11,estimable,,25,2,0.054242,1.319127,0.0337,9999,0.0337
wsi,CORE02,CORE04,14,11,estimable,,25,2,0.058717,1.434732,0.008,9999,0.01
wsi,CORE02,CORE05,14,5,estimable,,19,2,0.069405,1.267884,0.0303,9999,0.03366667
wsi,CORE03,CORE04,11,11,estimable,,22,2,0.069803,1.500829,0.003,9999,0.006
wsi,CORE03,CORE05,11,5,estimable,,16,2,0.09614,1.489127,0.0039,9999,0.0065
wsi,CORE04,CORE05,11,5,estimable,,16,2,0.095182,1.472717,0.0004,9999,0.00133333
rna,CORE01,CORE02,18,14,estimable,,32,2,0.078758,2.564736,0.0001,9999,0.00016667
rna,CORE01,CORE03,18,11,estimable,,29,2,0.063769,1.839023,0.0006,9999,0.00085714
rna,CORE01,CORE04,18,11,estimable,,29,2,0.084141,2.480523,0.0001,9999,0.00016667
rna,CORE01,CORE05,18,5,estimable,,23,2,0.078723,1.794451,0.0001,9999,0.00016667
rna,CORE02,CORE03,14,11,estimable,,25,2,0.10036,2.565778,0.0001,9999,0.00016667
rna,CORE02,CORE04,14,11,estimable,,25,2,0.084663,2.127358,0.0001,9999,0.00016667
rna,CORE02,CORE05,14,5,estimable,,19,2,0.067899,1.238368,0.0413,9999,0.0413
rna,CORE03,CORE04,11,11,estimable,,22,2,0.103842,2.317505,0.0001,9999,0.00016667
rna,CORE03,CORE05,11,5,estimable,,16,2,0.114407,1.808608,0.0031,9999,0.00344444
rna,CORE04,CORE05,11,5,estimable,,16,2,0.097422,1.51112,0.0016,9999,0.002
genomic,CORE01,CORE02,18,14,estimable,,32,2,0.032485,1.007279,0.0227,9999,0.0454
genomic,CORE01,CORE03,18,11,estimable,,29,2,0.036008,1.008523,0.0181,9999,0.04525
genomic,CORE01,CORE04,18,11,estimable,,29,2,0.03623,1.014977,0.0005,9999,0.005
genomic,CORE01,CORE05,18,5,estimable,,23,2,0.045801,1.007977,0.0113,9999,0.03766667
genomic,CORE02,CORE03,14,11,estimable,,25,2,0.041851,1.00462,0.063,9999,0.09
genomic,CORE02,CORE04,14,11,estimable,,25,2,0.041938,1.0068,0.0354,9999,0.059
genomic,CORE02,CORE05,14,5,estimable,,19,2,0.05547,0.998373,0.767,9999,0.767
genomic,CORE03,CORE04,11,11,estimable,,22,2,0.048171,1.012178,0.0053,9999,0.0265
genomic,CORE03,CORE05,11,5,estimable,,16,2,0.06668,1.000216,0.4218,9999,0.46866667
genomic,CORE04,CORE05,11,5,estimable,,16,2,0.066664,0.999955,0.4108,9999,0.46866667
fused,CORE01,CORE02,18,14,estimable,,32,2,0.033226,1.031045,0.0001,9999,0.00011111
fused,CORE01,CORE03,18,11,estimable,,29,2,0.036523,1.023514,0.0001,9999,0.00011111
fused,CORE01,CORE04,18,11,estimable,,29,2,0.036758,1.030341,0.0001,9999,0.00011111
fused,CORE01,CORE05,18,5,estimable,,23,2,0.046328,1.020158,0.0001,9999,0.00011111
fused,CORE02,CORE03,14,11,estimable,,25,2,0.04249,1.020642,0.0001,9999,0.00011111
fused,CORE02,CORE04,14,11,estimable,,25,2,0.042529,1.021609,0.0001,9999,0.00011111
fused,CORE02,CORE05,14,5,estimable,,19,2,0.055857,1.005738,0.0062,9999,0.0062
fused,CORE03,CORE04,11,11,estimable,,22,2,0.048722,1.024341,0.0001,9999,0.00011111
fused,CORE03,CORE05,11,5,estimable,,16,2,0.067715,1.016867,0.0001,9999,0.00011111
fused,CORE04,CORE05,11,5,estimable,,16,2,0.067518,1.013695,0.0001,9999,0.00011111
