group_a,group_b,n_a,n_b,events_a,events_b,p_value,p_adjusted_holm
CORE01,CORE02,18,14,1,7,0.01658419,0.1658419
CORE01,CORE03,18,11,1,0,0.51269076,1.0
CORE01,CORE04,18,11,1,6,0.01985051,1.0
CORE01,CORE05,18,5,1,2,0.03657515,1.0
CORE02,CORE03,14,11,7,0,0.0237245,1.0
CORE02,CORE04,14,11,7,6,0.27643158,1.0
CORE02,CORE05,14,5,7,2,0.91803258,1.0
CORE03,CORE04,11,11,0,6,0.11914139,1.0
CORE03,CORE05,11,5,0,2,0.0303284,1.0
CORE04,CORE05,11,5,6,2,0.63373211,1.0
