feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
chr1p,5,59,18;14;11;11;5,estimable,,3.84087874,0.42796867,0.45587967,0.0
chr1q,5,59,18;14;11;11;5,estimable,,13.91825886,0.00756056,0.11590776,0.18367146
chr2p,5,59,18;14;11;11;5,estimable,,10.74315993,0.02960735,0.11590776,0.12487333
chr2q,5,59,18;14;11;11;5,estimable,,2.20554872,0.69801355,0.7125555,0.0
chr3p,5,59,18;14;11;11;5,estimable,,8.82317411,0.06567449,0.13408542,0.08931804
chr3q,5,59,18;14;11;11;5,estimable,,6.20915156,0.1840637,0.24000057,0.04091021
chr4p,5,59,18;14;11;11;5,estimable,,9.23305501,0.055531,0.12957233,0.09690843
chr4q,5,59,18;14;11;11;5,estimable,,11.85106317,0.01849385,0.11590776,0.14539006
chr5p,5,59,18;14;11;11;5,estimable,,6.69284614,0.15303787,0.21425302,0.04986752
chr5q,5,59,18;14;11;11;5,estimable,,5.42582435,0.24632693,0.30522903,0.02640415
chr6p,5,59,18;14;11;11;5,estimable,,5.26021034,0.26162488,0.30522903,0.02333723
chr6q,5,59,18;14;11;11;5,estimable,,7.41971727,0.11530197,0.18832655,0.0633281
chr7p,5,59,18;14;11;11;5,estimable,,12.07552718,0.01679837,0.11590776,0.1495468
chr7q,5,59,18;14;11;11;5,estimable,,6.73751315,0.15042688,0.21425302,0.05069469
chr8p,5,59,18;14;11;11;5,estimable,,1.54243459,0.81909906,0.81909906,0.0
chr8q,5,59,18;14;11;11;5,estimable,,6.2087123,0.18409428,0.24000057,0.04090208
chr9p,5,59,18;14;11;11;5,estimable,,10.76007484,0.02939698,0.11590776,0.12518657
chr9q,5,59,18;14;11;11;5,estimable,,10.07261917,0.03922203,0.11590776,0.11245591
chr10p,5,59,18;14;11;11;5,estimable,,5.35430381,0.25283621,0.30522903,0.0250797
chr10q,5,59,18;14;11;11;5,estimable,,8.62987796,0.07104673,0.13925159,0.08573848
chr11p,5,59,18;14;11;11;5,estimable,,6.7811363,0.14791618,0.21425302,0.05150252
chr11q,5,59,18;14;11;11;5,estimable,,8.2870663,0.08161086,0.1481086,0.07939012
chr12p,5,59,18;14;11;11;5,estimable,,9.26199199,0.05487433,0.12957233,0.0974443
chr12q,5,59,18;14;11;11;5,estimable,,6.95876427,0.13808346,0.2114403,0.05479193
chr13p,5,59,18;14;11;11;5,not_estimable,kruskal_wallis_failed,,,,
chr13q,5,59,18;14;11;11;5,estimable,,7.6542818,0.10509542,0.18391698,0.06767189
chr14p,5,59,18;14;11;11;5,not_estimable,kruskal_wallis_failed,,,,
chr14q,5,59,18;14;11;11;5,estimable,,5.26489887,0.26118084,0.30522903,0.02342405
chr15p,5,59,18;14;11;11;5,not_estimable,kruskal_wallis_failed,,,,
chr15q,5,59,18;14;11;11;5,estimable,,13.52947747,0.00895856,0.11590776,0.17647181
chr16p,5,59,18;14;11;11;5,estimable,,12.63170935,0.01322282,0.11590776,0.15984647
chr16q,5,59,18;14;11;11;5,estimable,,10.2185164,0.03690335,0.11590776,0.11515771
chr17p,5,59,18;14;11;11;5,estimable,,2.25391423,0.68917177,0.7125555,0.0
chr17q,5,59,18;14;11;11;5,estimable,,6.17971699,0.18612289,0.24000057,0.04036513
chr18p,5,59,18;14;11;11;5,estimable,,7.09120485,0.13114625,0.20729569,0.05724453
chr18q,5,59,18;14;11;11;5,estimable,,5.07425546,0.27976293,0.31155417,0.01989362
chr19p,5,59,18;14;11;11;5,estimable,,8.85999902,0.0646957,0.13408542,0.08999998
chr19q,5,59,18;14;11;11;5,estimable,,11.24798787,0.0239139,0.11590776,0.134222
chr20p,5,59,18;14;11;11;5,estimable,,9.87547434,0.04257836,0.11590776,0.10880508
chr20q,5,59,18;14;11;11;5,estimable,,16.24891322,0.00270272,0.11590776,0.22683173
chr21p,5,59,18;14;11;11;5,not_estimable,kruskal_wallis_failed,,,,
chr21q,5,59,18;14;11;11;5,estimable,,4.14125133,0.38722695,0.42164712,0.00261577
chr22p,5,59,18;14;11;11;5,not_estimable,kruskal_wallis_failed,,,,
chr22q,5,59,18;14;11;11;5,estimable,,10.96637882,0.02694448,0.11590776,0.12900702
locus::VHL,5,59,18;14;11;11;5,estimable,,11.18210874,0.02459183,0.11590776,0.13300201
locus::SETD2,5,59,18;14;11;11;5,estimable,,9.96630176,0.04099917,0.11590776,0.11048707
locus::PBRM1,5,59,18;14;11;11;5,estimable,,10.26577201,0.03618102,0.11590776,0.11603281
locus::BAP1,5,59,18;14;11;11;5,estimable,,10.26577201,0.03618102,0.11590776,0.11603281
locus::JAK2,5,59,18;14;11;11;5,estimable,,9.03358574,0.06026546,0.13408542,0.09321455
locus::CDKN2A,5,59,18;14;11;11;5,estimable,,10.88297209,0.02791121,0.11590776,0.12746245
locus::PTEN,5,59,18;14;11;11;5,estimable,,9.72539537,0.04531633,0.11686843,0.10602584
fga,5,59,18;14;11;11;5,estimable,,8.39209969,0.07822616,0.14742622,0.08133518
gain_burden,5,59,18;14;11;11;5,estimable,,7.49412366,0.11196869,0.18832655,0.06470599
loss_burden,5,59,18;14;11;11;5,estimable,,5.18337418,0.26899431,0.3065284,0.02191434
