family_id,node_id,run_id,initial_k,repeat,set_id,member_n,member_ids
FAMILY02,run3_K4::C0002,run3_K4,4,3,C0002,27,"[""TCGA-B0-4821"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4622"", ""TCGA-B8-5158"", ""TCGA-B8-5159"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-5009"", ""TCGA-BP-5010"", ""TCGA-BP-5175"", ""TCGA-BP-5180"", ""TCGA-BP-5183"", ""TCGA-BP-5189"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6030"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-G6-A8L7""]"
FAMILY02,run3_K5::C0001,run3_K5,5,3,C0001,27,"[""TCGA-B0-4712"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5706"", ""TCGA-B0-5712"", ""TCGA-B8-4151"", ""TCGA-B8-4622"", ""TCGA-B8-5158"", ""TCGA-B8-5159"", ""TCGA-B8-5549"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-5009"", ""TCGA-BP-5010"", ""TCGA-BP-5180"", ""TCGA-BP-5183"", ""TCGA-BP-5189"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6030"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
FAMILY03,run1_K2::C0002,run1_K2,2,1,C0002,34,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5698"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4970"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5174"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
FAMILY03,run1_K3::C0002,run1_K3,3,1,C0002,23,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5698"", ""TCGA-B0-5812"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4999"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5181"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-5451""]"
FAMILY03,run1_K4::C0003,run1_K4,4,1,C0003,22,"[""TCGA-B0-5085"", ""TCGA-B0-5698"", ""TCGA-B0-5812"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4999"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5181"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-5451""]"
FAMILY03,run2_K2::C0002,run2_K2,2,2,C0002,34,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5698"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4970"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5174"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
FAMILY03,run2_K3::C0002,run2_K3,3,2,C0002,23,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5698"", ""TCGA-B0-5812"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4999"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5181"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-5451""]"
FAMILY03,run2_K4::C0003,run2_K4,4,2,C0003,22,"[""TCGA-B0-5085"", ""TCGA-B0-5698"", ""TCGA-B0-5812"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4999"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5181"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-5451""]"
FAMILY03,run3_K2::C0002,run3_K2,2,3,C0002,34,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5698"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4970"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5174"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
FAMILY03,run3_K3::C0002,run3_K3,3,3,C0002,23,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5698"", ""TCGA-B0-5812"", ""TCGA-B8-4153"", ""TCGA-B8-5165"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4999"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5181"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-CJ-4904"", ""TCGA-CZ-5451""]"
