threshold,core_count,core_patient_count,core_sizes
0.5,6,71,"[17, 15, 14, 10, 9, 6]"
0.6666666666666666,6,69,"[17, 14, 14, 10, 9, 5]"
0.75,5,58,"[17, 13, 12, 9, 7]"
0.8,4,46,"[17, 13, 9, 7]"
