feature,group_count,mutated_n,total_n,chi_square,p_value,q_value,permutations
mutation::ARID1A,4,2,69,1.95855544,0.8297,0.00016923,9999
mutation::ATM,4,5,69,3.68940717,0.3372,0.00016923,9999
mutation::BAP1,4,12,69,36.35181704,0.0001,0.00016923,9999
mutation::CDKN2A,4,0,69,0.0,1.0,0.00016923,9999
mutation::DST,4,5,69,5.40330882,0.1742,0.00016923,9999
mutation::ELOC,4,1,69,3.98634454,0.4033,0.00016923,9999
mutation::FLG,4,3,69,2.58874459,0.5405,0.00016923,9999
mutation::KDM5C,4,5,69,4.1686745,0.2789,0.00016923,9999
mutation::KMT2C,4,1,69,1.90257353,1.0,0.00016923,9999
mutation::LYST,4,3,69,0.99750127,1.0,0.00016923,9999
mutation::MTOR,4,3,69,5.88068182,0.0636,0.00016923,9999
mutation::MUC16,4,8,69,4.5465715,0.1925,0.00016923,9999
mutation::PBRM1,4,29,69,34.59622211,0.0001,0.00016923,9999
mutation::PIK3CA,4,3,69,5.88068182,0.0653,0.0002,9999
mutation::PTEN,4,5,69,5.40330882,0.1828,0.0002,9999
mutation::SETD2,4,3,69,2.28565062,0.6275,0.0002,9999
mutation::SPTA1,4,5,69,5.85652902,0.1084,0.0002,9999
mutation::TP53,4,3,69,12.32142857,0.015,0.0002,9999
mutation::TSC1,4,1,69,1.90257353,1.0,0.0002,9999
mutation::TSC2,4,0,69,0.0,1.0,0.0002,9999
mutation::TTN,4,7,69,6.63282974,0.0856,0.0002,9999
mutation::VHL,4,33,69,20.6887865,0.0002,0.0002,9999
