modality,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,estimable,,69,4,0.052028,1.189146,0.0002,9999,0.0001
wsi,estimable,,69,4,0.069599,1.620793,0.0001,9999,0.0001
rna,estimable,,69,4,0.085072,2.014615,0.0001,9999,0.0001
wxs,estimable,,69,4,0.11694,2.869218,0.0001,9999,0.0001
cnv,estimable,,69,4,0.070886,1.653051,0.0001,9999,0.0001
fused,estimable,,69,4,0.045148,1.024458,0.0001,9999,0.0001
