feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr1q,STATE_A,STATE_B,17,14,0.01180066,0.01005,0.01574636,-0.06219587,0.09663866,-0.36134454,0.52951681,0.6623432,1.0
chr1q,STATE_A,STATE_C,17,14,0.01180066,0.05401652,0.01574636,0.07860501,-0.59663866,-0.92436975,-0.21848739,0.00513498,0.03080988
chr1q,STATE_A,STATE_D,17,24,0.01180066,0.04860951,0.01574636,0.07755897,-0.31372549,-0.67156863,0.05392157,0.09288181,0.27864543
chr1q,STATE_B,STATE_C,14,14,0.01005,0.05401652,-0.06219587,0.07860501,-0.57142857,-0.87755102,-0.20408163,0.01076932,0.0538466
chr1q,STATE_B,STATE_D,14,24,0.01005,0.04860951,-0.06219587,0.07755897,-0.41666667,-0.73229167,-0.06547619,0.03545129,0.14180516
chr1q,STATE_C,STATE_D,14,24,0.05401652,0.04860951,0.07860501,0.07755897,0.06547619,-0.29761905,0.42872024,0.75067879,1.0
chr3p,STATE_A,STATE_B,17,14,-0.37905817,-0.15483261,-0.38400558,-0.11610697,-0.73109244,-0.97478992,-0.38655462,0.00059573,0.00357438
chr3p,STATE_A,STATE_C,17,14,-0.37905817,-0.27527974,-0.38400558,-0.28182062,-0.57142857,-0.87394958,-0.20168067,0.00737632,0.02950528
chr3p,STATE_A,STATE_D,17,24,-0.37905817,-0.35550243,-0.38400558,-0.37609134,-0.08823529,-0.44117647,0.27953431,0.64329333,0.64329333
chr3p,STATE_B,STATE_C,14,14,-0.15483261,-0.27527974,-0.11610697,-0.28182062,0.45918367,0.05102041,0.80637755,0.04088723,0.12266169
chr3p,STATE_B,STATE_D,14,24,-0.15483261,-0.35550243,-0.11610697,-0.37609134,0.6547619,0.309375,0.91666667,0.00092096,0.0046048
chr3p,STATE_C,STATE_D,14,24,-0.27527974,-0.35550243,-0.28182062,-0.37609134,0.4047619,0.0297619,0.72619048,0.0410878,0.12266169
chr7p,STATE_A,STATE_B,17,14,0.0126,0.12954776,0.03874628,0.14902973,-0.64705882,-0.90756303,-0.31092437,0.00239257,0.01435542
chr7p,STATE_A,STATE_C,17,14,0.0126,0.04138718,0.03874628,0.08891672,-0.5210084,-0.8487395,-0.1512605,0.01463879,0.07319395
