feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
chr1p,4,69,17;14;14;24,estimable,,4.02127238,0.25917624,0.35276766,0.01571188
chr1q,4,69,17;14;14;24,estimable,,10.53012608,0.01455792,0.03754411,0.11584809
chr2p,4,69,17;14;14;24,estimable,,6.94549599,0.07365544,0.12889702,0.06069994
chr2q,4,69,17;14;14;24,estimable,,8.09189403,0.04415022,0.09405916,0.07833683
chr3p,4,69,17;14;14;24,estimable,,18.88655636,0.00028857,0.00307965,0.24440856
chr3q,4,69,17;14;14;24,estimable,,3.16688762,0.36660318,0.460604,0.0025675
chr4p,4,69,17;14;14;24,estimable,,2.8873245,0.40932574,0.4775467,0.0
chr4q,4,69,17;14;14;24,estimable,,1.49398194,0.68365999,0.7127519,0.0
chr5p,4,69,17;14;14;24,estimable,,0.60933939,0.89429105,0.91292211,0.0
chr5q,4,69,17;14;14;24,estimable,,8.31426397,0.03994427,0.08896678,0.08175791
chr6p,4,69,17;14;14;24,estimable,,1.77286672,0.62085717,0.67604447,0.0
chr6q,4,69,17;14;14;24,estimable,,4.88724098,0.18024258,0.27599645,0.02903448
chr7p,4,69,17;14;14;24,estimable,,11.5536893,0.00907943,0.02617012,0.13159522
chr7q,4,69,17;14;14;24,estimable,,12.79936583,0.0050912,0.01918991,0.15075947
chr8p,4,69,17;14;14;24,estimable,,4.4828985,0.21382078,0.29934909,0.02281382
chr8q,4,69,17;14;14;24,estimable,,7.93604746,0.04735207,0.09667714,0.07593919
chr9p,4,69,17;14;14;24,estimable,,12.10161533,0.00704305,0.0230073,0.14002485
chr9q,4,69,17;14;14;24,estimable,,16.61584432,0.00084766,0.00593362,0.20947453
chr10p,4,69,17;14;14;24,estimable,,2.27580423,0.51717201,0.57594156,0.0
chr10q,4,69,17;14;14;24,estimable,,7.38402839,0.06061434,0.11423472,0.06744659
chr11p,4,69,17;14;14;24,estimable,,6.9715481,0.07281018,0.12889702,0.06110074
chr11q,4,69,17;14;14;24,estimable,,3.94604961,0.26734904,0.35405684,0.01455461
chr12p,4,69,17;14;14;24,estimable,,20.2455965,0.00015097,0.00307965,0.26531687
chr12q,4,69,17;14;14;24,estimable,,15.88439811,0.00119758,0.00733518,0.19822151
chr13p,4,69,17;14;14;24,not_estimable,kruskal_wallis_failed,,,,
chr13q,4,69,17;14;14;24,estimable,,4.90437914,0.17893438,0.27599645,0.02929814
chr14p,4,69,17;14;14;24,not_estimable,kruskal_wallis_failed,,,,
chr14q,4,69,17;14;14;24,estimable,,12.4493206,0.00599228,0.02097298,0.14537416
chr15p,4,69,17;14;14;24,not_estimable,kruskal_wallis_failed,,,,
chr15q,4,69,17;14;14;24,estimable,,3.09618369,0.37703197,0.46186416,0.00147975
chr16p,4,69,17;14;14;24,estimable,,13.31650573,0.00399982,0.01781738,0.15871547
chr16q,4,69,17;14;14;24,estimable,,7.50384676,0.05745969,0.11262099,0.06928995
chr17p,4,69,17;14;14;24,estimable,,4.72599343,0.19299648,0.28657053,0.02655375
chr17q,4,69,17;14;14;24,estimable,,4.58484984,0.2048456,0.29521866,0.02438231
chr18p,4,69,17;14;14;24,estimable,,6.34647363,0.09591787,0.16206813,0.05148421
chr18q,4,69,17;14;14;24,estimable,,5.38540794,0.14565542,0.23790385,0.03669858
chr19p,4,69,17;14;14;24,estimable,,0.27300897,0.96502217,0.96502217,0.0
chr19q,4,69,17;14;14;24,estimable,,2.71840048,0.43710938,0.49810139,0.0
chr20p,4,69,17;14;14;24,estimable,,14.38216071,0.00242853,0.0118998,0.17511016
chr20q,4,69,17;14;14;24,estimable,,13.0513754,0.00452681,0.01848447,0.15463654
chr21p,4,69,17;14;14;24,not_estimable,kruskal_wallis_failed,,,,
chr21q,4,69,17;14;14;24,estimable,,1.57105015,0.66597167,0.70940461,0.0
chr22p,4,69,17;14;14;24,not_estimable,kruskal_wallis_failed,,,,
chr22q,4,69,17;14;14;24,estimable,,3.69739921,0.29604799,0.38174609,0.01072922
locus::VHL,4,69,17;14;14;24,estimable,,21.09327905,0.00010068,0.00307965,0.27835814
locus::SETD2,4,69,17;14;14;24,estimable,,18.35096473,0.0003723,0.00307965,0.23616869
locus::PBRM1,4,69,17;14;14;24,estimable,,18.32398351,0.0003771,0.00307965,0.23575359
locus::BAP1,4,69,17;14;14;24,estimable,,18.32398351,0.0003771,0.00307965,0.23575359
locus::JAK2,4,69,17;14;14;24,estimable,,14.39876711,0.00240968,0.0118998,0.17536565
locus::CDKN2A,4,69,17;14;14;24,estimable,,11.74824492,0.00829726,0.02541036,0.13458838
locus::PTEN,4,69,17;14;14;24,estimable,,8.4359329,0.0378112,0.08822613,0.08362974
fga,4,69,17;14;14;24,estimable,,10.54386624,0.01446626,0.03754411,0.11605948
gain_burden,4,69,17;14;14;24,estimable,,3.01814337,0.38883628,0.46470677,0.00027913
loss_burden,4,69,17;14;14;24,estimable,,10.09308071,0.01779126,0.04358859,0.10912432
