modality,omnibus_feature_count,omnibus_fdr_significant_count,posthoc_row_count
rna_hallmark,50,12,72
ct_radiomics,308,33,198
cnv_continuous,54,20,120
WXS,22,3,18
CNV event secondary,102,0,0
clinical,6,1,6
WSI affinity,,,6
