modality,group_a,group_b,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,STATE_A,STATE_B,estimable,,3.832962,0.1603,9999,0,0.0,0.0,[],0.46275
ct,STATE_A,STATE_C,estimable,,3.04401,0.4006,9999,0,0.0,0.0,[],0.46275
ct,STATE_A,STATE_D,estimable,,1.721653,0.9209,9999,0,0.0,0.0,[],0.46275
ct,STATE_B,STATE_C,estimable,,0.929813,0.3085,9999,0,0.0,0.0,[],0.46275
ct,STATE_B,STATE_D,estimable,,8.879284,0.5377,9999,0,0.0,0.0,[],0.5434
ct,STATE_C,STATE_D,estimable,,8.799699,0.5434,9999,0,0.0,0.0,[],0.5434
wsi,STATE_A,STATE_B,estimable,,3.565559,0.0512,9999,0,0.0,0.0,[],0.0708
wsi,STATE_A,STATE_C,estimable,,1.463052,0.253,9999,0,0.0,0.0,[],0.0708
wsi,STATE_A,STATE_D,estimable,,6.079498,0.0354,9999,0,0.0,0.0,[],0.0708
wsi,STATE_B,STATE_C,estimable,,2.346499,0.0784,9999,0,0.0,0.0,[],0.1176
wsi,STATE_B,STATE_D,estimable,,2.4e-05,0.9996,9999,0,0.0,0.0,[],0.5033
wsi,STATE_C,STATE_D,estimable,,3.547526,0.5033,9999,0,0.0,0.0,[],0.5033
rna,STATE_A,STATE_B,estimable,,0.751058,0.437,9999,0,0.0,0.0,[],0.002
rna,STATE_A,STATE_C,estimable,,0.043852,0.8633,9999,0,0.0,0.0,[],0.002
rna,STATE_A,STATE_D,estimable,,25.575748,0.001,9999,0,0.0,0.0,[],0.002
rna,STATE_B,STATE_C,estimable,,0.421803,0.4133,9999,0,0.0,0.0,[],0.0085
rna,STATE_B,STATE_D,estimable,,6.754742,0.6312,9999,0,0.0,0.0,[],0.0085
rna,STATE_C,STATE_D,estimable,,22.484898,0.0085,9999,0,0.0,0.0,[],0.0085
wxs,STATE_A,STATE_B,estimable,,8.434485,0.0026,9999,0,0.0,0.0,[],0.0001
wxs,STATE_A,STATE_C,estimable,,4.798892,0.0115,9999,0,0.0,0.0,[],0.0001
wxs,STATE_A,STATE_D,estimable,,2.108355,0.1846,9999,0,0.0,0.0,[],0.0001
wxs,STATE_B,STATE_C,estimable,,0.136303,0.6081,9999,0,0.0,0.0,[],0.0001
wxs,STATE_B,STATE_D,estimable,,34.51668,0.0001,9999,0,0.0,0.0,[],0.0001
wxs,STATE_C,STATE_D,estimable,,18.709975,0.0001,9999,0,0.0,0.0,[],0.0001
cnv,STATE_A,STATE_B,estimable,,5.430616,0.0253,9999,0,0.0,0.0,[],0.0058
cnv,STATE_A,STATE_C,estimable,,1.976372,0.1925,9999,0,0.0,0.0,[],0.0058
cnv,STATE_A,STATE_D,estimable,,12.715115,0.0029,9999,0,0.0,0.0,[],0.0058
cnv,STATE_B,STATE_C,estimable,,6.257486,0.0061,9999,0,0.0,0.0,[],0.00915
cnv,STATE_B,STATE_D,estimable,,2.522567,0.9526,9999,0,0.0,0.0,[],0.1702
cnv,STATE_C,STATE_D,estimable,,14.090593,0.1702,9999,0,0.0,0.0,[],0.1702
fused,STATE_A,STATE_B,estimable,,1313.039156,0.9216,9999,0,0.0,0.0,[],0.8466
fused,STATE_A,STATE_C,estimable,,1204.966577,0.9562,9999,0,0.0,0.0,[],0.8466
fused,STATE_A,STATE_D,estimable,,5047.05359,0.9639,9999,0,0.0,0.0,[],0.8466
fused,STATE_B,STATE_C,estimable,,0.094302,0.5644,9999,0,0.0,0.0,[],0.8466
fused,STATE_B,STATE_D,estimable,,14422.596866,0.9724,9999,0,0.0,0.0,[],0.9844
fused,STATE_C,STATE_D,estimable,,12733.552809,0.9844,9999,0,0.0,0.0,[],0.9844
