modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,4.762708,0.7659,9999,0,0.0,0.0,[],0.0003
wsi,estimable,,3.487117,0.2066,9999,0,0.0,0.0,[],0.0003
rna,estimable,,6.119673,0.157,9999,0,0.0,0.0,[],0.0003
wxs,estimable,,9.402012,0.0002,9999,0,0.0,0.0,[],0.0003
cnv,estimable,,6.981842,0.0629,9999,0,0.0,0.0,[],0.07548
fused,estimable,,5257.357286,1.0,9999,0,0.0,0.0,[],1.0
