core_id,field,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,q_value,set_mean,rest_mean,cliffs_delta,direction,cramers_v,epsilon_squared,available_n,missing_n
STATE_A,tissue_source_site,B0,2,17,7,52,0.117647,0.134615,-0.016968,0.857143,1.0,,,,,,,,
STATE_A,tissue_source_site,B8,0,17,13,52,0.0,0.25,-0.25,0.0,0.166192,,,,,,,,
STATE_A,tissue_source_site,BP,13,17,17,52,0.764706,0.326923,0.437783,6.691176,0.05761,,,,,,,,
STATE_A,tissue_source_site,CJ,1,17,7,52,0.058824,0.134615,-0.075792,0.401786,1.0,,,,,,,,
STATE_A,tissue_source_site,CZ,1,17,7,52,0.058824,0.134615,-0.075792,0.401786,1.0,,,,,,,,
STATE_A,tissue_source_site,G6,0,17,1,52,0.0,0.019231,-0.019231,0.0,1.0,,,,,,,,
STATE_A,ct_phase,ART,1,17,4,52,0.058824,0.076923,-0.0181,0.75,1.0,,,,,,,,
STATE_A,ct_phase,CE_UNSPECIFIED,3,17,5,52,0.176471,0.096154,0.080317,2.014286,1.0,,,,,,,,
STATE_A,ct_phase,DEL,2,17,8,52,0.117647,0.153846,-0.036199,0.733333,1.0,,,,,,,,
STATE_A,ct_phase,MAIN_CE_HIGH,5,17,5,52,0.294118,0.096154,0.197964,3.916667,0.459541,,,,,,,,
STATE_A,ct_phase,MAIN_CE_MEDIUM,0,17,2,52,0.0,0.038462,-0.038462,0.0,1.0,,,,,,,,
STATE_A,ct_phase,NC,1,17,3,52,0.058824,0.057692,0.001131,1.020833,1.0,,,,,,,,
STATE_A,ct_phase,NEPH,0,17,4,52,0.0,0.076923,-0.076923,0.0,1.0,,,,,,,,
STATE_A,ct_phase,UNKNOWN,5,17,21,52,0.294118,0.403846,-0.109729,0.615079,1.0,,,,,,,,
STATE_A,ct_manufacturer,GE,16,17,30,52,0.941176,0.576923,0.364253,11.733333,0.05761,,,,,,,,
STATE_A,ct_manufacturer,SIEMENS,1,17,22,52,0.058824,0.423077,-0.364253,0.085227,0.05761,,,,,,,,
STATE_A,ct_scanner_model,Definition,0,17,1,52,0.0,0.019231,-0.019231,0.0,1.0,,,,,,,,
STATE_A,ct_scanner_model,Definition AS+,0,17,3,52,0.0,0.057692,-0.057692,0.0,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed Plus,1,17,1,52,0.058824,0.019231,0.039593,3.1875,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed QX/i,1,17,7,52,0.058824,0.134615,-0.075792,0.401786,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed Ultra,1,17,5,52,0.058824,0.096154,-0.03733,0.5875,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed VCT,3,17,7,52,0.176471,0.134615,0.041855,1.377551,1.0,,,,,,,,
STATE_A,ct_scanner_model,LightSpeed16,10,17,10,52,0.588235,0.192308,0.395928,6.0,0.05761,,,,,,,,
STATE_A,ct_scanner_model,SOMATOM Definition,0,17,1,52,0.0,0.019231,-0.019231,0.0,1.0,,,,,,,,
STATE_A,ct_scanner_model,Sensation 16,0,17,2,52,0.0,0.038462,-0.038462,0.0,1.0,,,,,,,,
STATE_A,ct_scanner_model,Sensation 64,1,17,11,52,0.058824,0.211538,-0.152715,0.232955,0.86065,,,,,,,,
STATE_A,ct_scanner_model,Volume Zoom,0,17,4,52,0.0,0.076923,-0.076923,0.0,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,B20f,0,17,1,52,0.0,0.019231,-0.019231,0.0,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,B30f,1,17,10,52,0.058824,0.192308,-0.133484,0.2625,0.86065,,,,,,,,
STATE_A,ct_reconstruction_kernel,B31f,0,17,11,52,0.0,0.211538,-0.211538,0.0,0.269775,,,,,,,,
STATE_A,ct_reconstruction_kernel,SOFT,1,17,1,52,0.058824,0.019231,0.039593,3.1875,1.0,,,,,,,,
STATE_A,ct_reconstruction_kernel,STANDARD,15,17,29,52,0.882353,0.557692,0.324661,5.948276,0.138432,,,,,,,,
STATE_A,ct_slice_thickness,,,,,,,,,,0.792377,3.308824,3.704327,-0.188914,lower_in_set,,,,
STATE_A,ct_z_spacing,,,,,,,,,,1.0,3.194118,3.4975,-0.121041,lower_in_set,,,,
STATE_A,ct_pixel_spacing,,,,,,,,,,1.0,0.806756,0.807279,-0.012443,lower_in_set,,,,
STATE_B,tissue_source_site,B0,1,14,8,55,0.071429,0.145455,-0.074026,0.451923,0.85343,,,,,,,,
STATE_B,tissue_source_site,B8,5,14,8,55,0.357143,0.145455,0.211688,3.263889,0.463719,,,,,,,,
STATE_B,tissue_source_site,BP,4,14,26,55,0.285714,0.472727,-0.187013,0.446154,0.605812,,,,,,,,
STATE_B,tissue_source_site,CJ,0,14,8,55,0.0,0.145455,-0.145455,0.0,0.546267,,,,,,,,
STATE_B,tissue_source_site,CZ,4,14,4,55,0.285714,0.072727,0.212987,5.1,0.333676,,,,,,,,
STATE_B,tissue_source_site,G6,0,14,1,55,0.0,0.018182,-0.018182,0.0,1.0,,,,,,,,
STATE_B,ct_phase,ART,2,14,3,55,0.142857,0.054545,0.088312,2.888889,0.61974,,,,,,,,
STATE_B,ct_phase,CE_UNSPECIFIED,2,14,6,55,0.142857,0.109091,0.033766,1.361111,0.85343,,,,,,,,
STATE_B,ct_phase,DEL,1,14,9,55,0.071429,0.163636,-0.092208,0.393162,0.85343,,,,,,,,
STATE_B,ct_phase,MAIN_CE_HIGH,1,14,9,55,0.071429,0.163636,-0.092208,0.393162,0.85343,,,,,,,,
STATE_B,ct_phase,MAIN_CE_MEDIUM,1,14,1,55,0.071429,0.018182,0.053247,4.153846,0.642264,,,,,,,,
STATE_B,ct_phase,NC,0,14,4,55,0.0,0.072727,-0.072727,0.0,0.85343,,,,,,,,
STATE_B,ct_phase,NEPH,0,14,4,55,0.0,0.072727,-0.072727,0.0,0.85343,,,,,,,,
STATE_B,ct_phase,UNKNOWN,7,14,19,55,0.5,0.345455,0.154545,1.894737,0.642264,,,,,,,,
STATE_B,ct_manufacturer,GE,5,14,41,55,0.357143,0.745455,-0.388312,0.189702,0.118382,,,,,,,,
