feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-1-0-mm-3D_firstorder_Mean,4,69,17;14;14;24,estimable,,2.3388164,0.50512553,0.65095675,0.0
log-sigma-1-0-mm-3D_firstorder_Minimum,4,69,17;14;14;24,estimable,,4.82191833,0.18531134,0.31329716,0.02802951
log-sigma-1-0-mm-3D_firstorder_Range,4,69,17;14;14;24,estimable,,6.20529255,0.10203845,0.2040769,0.04931219
log-sigma-1-0-mm-3D_firstorder_Skewness,4,69,17;14;14;24,estimable,,0.82558502,0.84333815,0.86864069,0.0
log-sigma-1-0-mm-3D_glcm_Correlation,4,69,17;14;14;24,estimable,,12.78473737,0.00512602,0.04784285,0.15053442
log-sigma-1-0-mm-3D_glcm_Imc1,4,69,17;14;14;24,estimable,,8.22633662,0.04155843,0.1333333,0.08040518
log-sigma-1-0-mm-3D_glcm_MCC,4,69,17;14;14;24,estimable,,13.32429581,0.00398529,0.04383819,0.15883532
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,4,69,17;14;14;24,estimable,,8.02696035,0.04545779,0.1375426,0.07733785
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,9.59007516,0.02239217,0.09852555,0.10138577
log-sigma-1-0-mm-3D_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,16.24572365,0.00100974,0.03731232,0.20378036
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,4,69,17;14;14;24,estimable,,4.14588705,0.24613577,0.38482141,0.01762903
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,4,69,17;14;14;24,estimable,,7.30240879,0.06285879,0.1626087,0.0661909
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,7.43587783,0.05922912,0.16099492,0.06824427
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,4,69,17;14;14;24,estimable,,5.74041704,0.12494561,0.23043861,0.04216026
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,4,69,17;14;14;24,estimable,,10.80832681,0.01280879,0.07044834,0.1201281
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,4,69,17;14;14;24,estimable,,6.54498582,0.08790516,0.18571786,0.05453824
log-sigma-1-0-mm-3D_glszm_ZonePercentage,4,69,17;14;14;24,estimable,,2.12226804,0.54742094,0.67917633,0.0
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,4,69,17;14;14;24,estimable,,6.79378795,0.07876912,0.17781922,0.05836597
log-sigma-1-0-mm-3D_gldm_DependenceVariance,4,69,17;14;14;24,estimable,,6.29472224,0.09811937,0.19891911,0.05068803
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,6.47425492,0.09068337,0.18745287,0.05345008
log-sigma-2-0-mm-3D_firstorder_10Percentile,4,69,17;14;14;24,estimable,,13.51981836,0.00363727,0.04309785,0.16184336
log-sigma-2-0-mm-3D_firstorder_90Percentile,4,69,17;14;14;24,estimable,,9.32807558,0.02523247,0.10388216,0.09735501
log-sigma-2-0-mm-3D_firstorder_Energy,4,69,17;14;14;24,estimable,,9.02428102,0.02896979,0.11103662,0.09268125
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,4,69,17;14;14;24,estimable,,16.52752927,0.00088381,0.03731232,0.20811583
log-sigma-2-0-mm-3D_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,11.21808984,0.01060318,0.06531559,0.12643215
log-sigma-2-0-mm-3D_firstorder_Maximum,4,69,17;14;14;24,estimable,,7.28228683,0.06342438,0.1626087,0.06588134
log-sigma-2-0-mm-3D_firstorder_Minimum,4,69,17;14;14;24,estimable,,9.07085878,0.02836347,0.11103662,0.09339783
log-sigma-2-0-mm-3D_firstorder_Range,4,69,17;14;14;24,estimable,,9.37514397,0.0246974,0.10388216,0.09807914
log-sigma-2-0-mm-3D_firstorder_Skewness,4,69,17;14;14;24,estimable,,6.99594881,0.07202701,0.16960808,0.06147614
log-sigma-2-0-mm-3D_glcm_Correlation,4,69,17;14;14;24,estimable,,19.19248047,0.00024945,0.03731232,0.24911508
log-sigma-2-0-mm-3D_glcm_Imc1,4,69,17;14;14;24,estimable,,15.95789881,0.00115675,0.03731232,0.19935229
log-sigma-2-0-mm-3D_glcm_MaximumProbability,4,69,17;14;14;24,estimable,,9.42925953,0.02409595,0.10307712,0.09891169
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,4,69,17;14;14;24,estimable,,11.41323921,0.00968888,0.06531559,0.12943445
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,8.00863563,0.04583357,0.1375426,0.07705593
log-sigma-2-0-mm-3D_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,15.38461993,0.00151579,0.03731232,0.19053261
log-sigma-2-0-mm-3D_glrlm_RunPercentage,4,69,17;14;14;24,estimable,,10.96858135,0.01189699,0.06870259,0.12259356
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,4,69,17;14;14;24,estimable,,6.83950363,0.07719314,0.17742901,0.05906929
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,4,69,17;14;14;24,estimable,,9.02868278,0.02891195,0.11103662,0.09274897
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,6.90229396,0.07507807,0.173865,0.06003529
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,4,69,17;14;14;24,estimable,,11.32859405,0.01007549,0.06531559,0.12813222
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,4,69,17;14;14;24,estimable,,11.96759747,0.00749499,0.06074887,0.13796304
log-sigma-2-0-mm-3D_gldm_DependenceVariance,4,69,17;14;14;24,estimable,,8.38314021,0.03872273,0.13050344,0.08281754
log-sigma-3-0-mm-3D_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,8.49193243,0.0368672,0.12616775,0.08449127
log-sigma-3-0-mm-3D_firstorder_Maximum,4,69,17;14;14;24,estimable,,13.51931729,0.00363813,0.04309785,0.16183565
log-sigma-3-0-mm-3D_firstorder_Mean,4,69,17;14;14;24,estimable,,2.75688362,0.43064691,0.58950777,0.0
log-sigma-3-0-mm-3D_firstorder_Minimum,4,69,17;14;14;24,estimable,,14.20544566,0.00263843,0.03790892,0.17239147
log-sigma-3-0-mm-3D_firstorder_Range,4,69,17;14;14;24,estimable,,13.90871131,0.00303208,0.03891169,0.16782633
log-sigma-3-0-mm-3D_firstorder_Skewness,4,69,17;14;14;24,estimable,,5.8848261,0.11735013,0.22174135,0.04438194
log-sigma-3-0-mm-3D_firstorder_Uniformity,4,69,17;14;14;24,estimable,,14.89189415,0.0019114,0.03731232,0.18295222
log-sigma-3-0-mm-3D_firstorder_Variance,4,69,17;14;14;24,estimable,,14.02712998,0.00286846,0.03841242,0.16964815
log-sigma-3-0-mm-3D_glcm_Correlation,4,69,17;14;14;24,estimable,,16.42718218,0.00092676,0.03731232,0.20657203
log-sigma-3-0-mm-3D_glcm_Idmn,4,69,17;14;14;24,estimable,,11.61501383,0.00882534,0.06325568,0.13253867
log-sigma-3-0-mm-3D_glcm_Imc1,4,69,17;14;14;24,estimable,,4.60176331,0.20339087,0.33662529,0.02464251
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,4,69,17;14;14;24,estimable,,13.3446944,0.00394749,0.04383819,0.15914914
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,15.4442403,0.00147381,0.03731232,0.19144985
log-sigma-3-0-mm-3D_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,15.48592219,0.00144514,0.03731232,0.19209111
