feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr2q::gain,STATE_B,STATE_C,14,14,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
chr2q::gain,STATE_B,STATE_D,14,24,0.0,0.125,-0.125,0.21182266,0.0101612,4.41570132,0.28307255,1.0
chr2q::gain,STATE_C,STATE_D,14,24,0.0,0.125,-0.125,0.21182266,0.0101612,4.41570132,0.28307255,1.0
chr3p::loss,STATE_A,STATE_B,17,14,0.9411764705882353,0.42857142857142855,0.5126050420168067,14.38461538,2.02864688,101.99762281,0.00383744,0.02302464
chr3p::loss,STATE_A,STATE_C,17,14,0.9411764705882353,0.7857142857142857,0.15546218487394958,3.34782609,0.42856992,26.15195077,0.30411568,1.0
chr3p::loss,STATE_A,STATE_D,17,24,0.9411764705882353,0.8333333333333334,0.10784313725490191,2.41463415,0.34069712,17.11331786,0.38224548,1.0
chr3p::loss,STATE_B,STATE_C,14,14,0.42857142857142855,0.7857142857142857,-0.35714285714285715,0.23273657,0.04827021,1.12214788,0.12011187,1.0
chr3p::loss,STATE_B,STATE_D,14,24,0.42857142857142855,0.8333333333333334,-0.4047619047619048,0.16786227,0.03962733,0.71106833,0.01438653,1.0
chr3p::loss,STATE_C,STATE_D,14,24,0.7857142857142857,0.8333333333333334,-0.04761904761904767,0.72125436,0.14967978,3.47547165,1.0,1.0
chr3p::gain,STATE_A,STATE_B,17,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,0.19569892,1.0
chr3p::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr3p::gain,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr3p::gain,STATE_B,STATE_C,14,14,0.14285714285714285,0.0,0.14285714285714285,5.8,0.25375751,132.56750642,0.48148148,1.0
chr3p::gain,STATE_B,STATE_D,14,24,0.14285714285714285,0.0,0.14285714285714285,9.8,0.43625643,220.14575271,0.12944523,1.0
chr3p::gain,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr3q::loss,STATE_A,STATE_B,17,14,0.23529411764705882,0.14285714285714285,0.09243697478991597,1.66666667,0.2963883,9.37208994,0.663824,1.0
chr3q::loss,STATE_A,STATE_C,17,14,0.23529411764705882,0.0,0.23529411764705882,9.66666667,0.47441142,196.96921579,0.10745273,1.0
chr3q::loss,STATE_A,STATE_D,17,24,0.23529411764705882,0.16666666666666666,0.06862745098039216,1.51851852,0.34696819,6.6458499,0.69750653,1.0
chr3q::loss,STATE_B,STATE_C,14,14,0.14285714285714285,0.0,0.14285714285714285,5.8,0.25375751,132.56750642,0.48148148,1.0
chr3q::loss,STATE_B,STATE_D,14,24,0.14285714285714285,0.16666666666666666,-0.023809523809523808,0.91111111,0.16668749,4.98011838,1.0,1.0
chr3q::loss,STATE_C,STATE_D,14,24,0.0,0.16666666666666666,-0.16666666666666666,0.15708812,0.00783502,3.14953486,0.27586534,1.0
