modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,STATE_A,STATE_B,17,14,estimable,,31,2,0.040464,1.222942,0.0102,9999,0.0153
ct,STATE_A,STATE_C,17,14,estimable,,31,2,0.035349,1.062679,0.149,9999,0.1788
ct,STATE_A,STATE_D,17,24,estimable,,41,2,0.0305,1.226928,0.0008,9999,0.0024
ct,STATE_B,STATE_C,14,14,estimable,,28,2,0.046916,1.279862,0.0023,9999,0.0046
ct,STATE_B,STATE_D,14,24,estimable,,38,2,0.035227,1.314471,0.0002,9999,0.0012
ct,STATE_C,STATE_D,14,24,estimable,,38,2,0.027906,1.033442,0.2572,9999,0.2572
wsi,STATE_A,STATE_B,17,14,estimable,,31,2,0.06011,1.85466,0.0026,9999,0.0066
wsi,STATE_A,STATE_C,17,14,estimable,,31,2,0.059601,1.837974,0.0033,9999,0.0066
wsi,STATE_A,STATE_D,17,24,estimable,,41,2,0.056262,2.325047,0.0001,9999,0.0006
wsi,STATE_B,STATE_C,14,14,estimable,,28,2,0.039702,1.074921,0.2467,9999,0.2467
wsi,STATE_B,STATE_D,14,24,estimable,,38,2,0.032772,1.219769,0.0759,9999,0.09108
wsi,STATE_C,STATE_D,14,24,estimable,,38,2,0.035788,1.336192,0.0204,9999,0.0306
rna,STATE_A,STATE_B,17,14,estimable,,31,2,0.073164,2.289256,0.0001,9999,0.00015
rna,STATE_A,STATE_C,17,14,estimable,,31,2,0.091134,2.907898,0.0001,9999,0.00015
rna,STATE_A,STATE_D,17,24,estimable,,41,2,0.046722,1.911468,0.0001,9999,0.00015
rna,STATE_B,STATE_C,14,14,estimable,,28,2,0.061817,1.713149,0.0004,9999,0.00048
rna,STATE_B,STATE_D,14,24,estimable,,38,2,0.042274,1.589043,0.0006,9999,0.0006
rna,STATE_C,STATE_D,14,24,estimable,,38,2,0.049094,1.858613,0.0001,9999,0.00015
wxs,STATE_A,STATE_B,17,14,estimable,,31,2,0.104564,3.386475,0.0001,9999,0.00012
wxs,STATE_A,STATE_C,17,14,estimable,,31,2,0.100194,3.229155,0.0001,9999,0.00012
wxs,STATE_A,STATE_D,17,24,estimable,,41,2,0.027243,1.092239,0.288,9999,0.288
wxs,STATE_B,STATE_C,14,14,estimable,,28,2,0.128789,3.843532,0.0001,9999,0.00012
wxs,STATE_B,STATE_D,14,24,estimable,,38,2,0.086067,3.390177,0.0001,9999,0.00012
wxs,STATE_C,STATE_D,14,24,estimable,,38,2,0.077521,3.025262,0.0001,9999,0.00012
cnv,STATE_A,STATE_B,17,14,estimable,,31,2,0.062532,1.934387,0.0001,9999,0.0003
cnv,STATE_A,STATE_C,17,14,estimable,,31,2,0.059842,1.845893,0.0003,9999,0.0006
cnv,STATE_A,STATE_D,17,24,estimable,,41,2,0.055049,2.271977,0.0001,9999,0.0003
cnv,STATE_B,STATE_C,14,14,estimable,,28,2,0.04574,1.246241,0.0083,9999,0.0083
cnv,STATE_B,STATE_D,14,24,estimable,,38,2,0.034444,1.284209,0.0004,9999,0.0006
cnv,STATE_C,STATE_D,14,24,estimable,,38,2,0.035008,1.306024,0.0007,9999,0.00084
fused,STATE_A,STATE_B,17,14,estimable,,31,2,0.034302,1.030104,0.0001,9999,0.0001
fused,STATE_A,STATE_C,17,14,estimable,,31,2,0.03429,1.029727,0.0001,9999,0.0001
fused,STATE_A,STATE_D,17,24,estimable,,41,2,0.025548,1.02248,0.0001,9999,0.0001
fused,STATE_B,STATE_C,14,14,estimable,,28,2,0.03785,1.022802,0.0001,9999,0.0001
fused,STATE_B,STATE_D,14,24,estimable,,38,2,0.027651,1.02376,0.0001,9999,0.0001
fused,STATE_C,STATE_D,14,24,estimable,,38,2,0.027543,1.019625,0.0001,9999,0.0001
