feature,group_count,available_n,group_sizes,kruskal_h,p_value,q_value,epsilon_squared,clinical_variable,levels,chi_square,permutations
age,4,69,17;14;14;24,0.32169228,0.95589843,0.00030000000000000003,0.0,,,,
,4,69,,,0.2736,0.00030000000000000003,,gender,female;male,4.0662933,9999
,4,69,,,0.0192,0.00030000000000000003,,stage_group,I;II;III;IV,19.0297619,9999
,4,69,,,0.0002,0.00030000000000000003,,t_stage,T1;T1a;T1b;T2;T2b;T3a;T3b;T4,43.64587085,9999
,4,65,,,0.2148,0.0947,,m_stage,M0;M1,4.66327903,9999
,4,69,,,0.0947,0.0947,,grade,G2;G3;G4,10.82654937,9999
