field,level,core_n,non_core_n,core_fraction,non_core_fraction,cramers_v,p_value,q_value
m_stage,M0,40,44,0.7843137254901961,0.9361702127659575,0.19255167728761438,0.03185444308630784,0.03185444308630784
m_stage,M1,11,3,0.21568627450980393,0.06382978723404255,0.19255167728761438,0.03185444308630784,0.03185444308630784
