field,core_n,non_core_n,core_median,non_core_median,cliffs_delta,p_value,q_value
age,56,47,58.5,57.0,0.11094225,0.33508206437905663,0.8585483953318587
os_time,56,47,1197.5,1063.0,0.05243161,0.6501518601885202,0.8585483953318587
ct_slice_thickness,56,47,3.0,3.0,0.03533435,0.7358986245701645,0.8585483953318587
ct_z_spacing,56,47,2.750000000000007,2.5,-0.01177812,0.9149170729066072,0.9149170729066072
ct_pixel_spacing,56,47,0.801758,0.78125,0.07598784,0.5093380472872422,0.8585483953318587
ct_n_images,56,47,98.0,90.0,0.08320669,0.470409868665276,0.8585483953318587
ct_study_year,56,47,1991.0,1991.0,0.05091185,0.6580536792004072,0.8585483953318587
