jaccard_threshold,overlap_threshold,relation_component_count,recurrent_relation_component_count,cohesive_family_count,cohesive_family_sizes
0.5,0.8,11,8,12,"[78, 34, 33, 30, 30, 28, 25, 17, 16, 16, 14, 4]"
0.5,1.0,21,7,8,"[50, 34, 30, 23, 17, 14, 12, 4]"
0.6666666666666666,0.8,15,8,12,"[34, 31, 30, 26, 23, 23, 22, 17, 16, 14, 12, 4]"
0.6666666666666666,1.0,23,6,7,"[34, 23, 23, 17, 14, 12, 4]"
0.75,0.8,21,9,10,"[30, 23, 23, 21, 21, 17, 16, 12, 10, 4]"
0.75,1.0,25,6,6,"[23, 23, 17, 12, 10, 4]"
