threshold,core_count,core_patient_count,core_sizes
0.5,5,66,"[21, 16, 13, 11, 5]"
0.6666666666666666,4,56,"[21, 14, 12, 9]"
0.75,4,54,"[21, 14, 10, 9]"
0.8,4,54,"[21, 14, 11, 8]"
