run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,1,2,103,6,93236
run1_K3,3,1,True,complete,review_complete,unavailable,1,2,73,6,123970
run1_K4,4,1,True,complete,review_complete,unavailable,1,3,85,6,162637
run1_K5,5,1,True,complete,review_complete,unavailable,1,3,67,6,202634
run1_K6,6,1,True,complete,review_complete,unavailable,1,3,51,6,255714
run1_K7,7,1,True,complete,review_complete,unavailable,1,2,31,6,318740
run1_K8,8,1,True,complete,review_complete,unavailable,1,5,67,6,361963
run2_K2,2,2,True,complete,review_complete,unavailable,1,2,103,6,92179
run2_K3,3,2,True,complete,review_complete,unavailable,1,2,73,6,121431
run2_K4,4,2,True,complete,review_complete,unavailable,1,3,85,6,161123
run2_K5,5,2,True,complete,review_complete,unavailable,1,3,67,6,206890
run2_K6,6,2,True,complete,review_complete,unavailable,1,3,51,6,260672
run2_K7,7,2,True,complete,review_complete,unavailable,1,5,69,6,329913
run2_K8,8,2,True,complete,review_complete,unavailable,1,5,67,6,366396
run3_K2,2,3,True,complete,review_complete,unavailable,1,2,103,6,91409
run3_K3,3,3,True,complete,review_complete,unavailable,1,2,73,6,128773
run3_K4,4,3,True,complete,review_complete,unavailable,1,3,85,6,165870
run3_K5,5,3,True,complete,review_complete,unavailable,1,3,67,6,209005
run3_K6,6,3,True,complete,review_complete,unavailable,1,3,51,6,253545
run3_K7,7,3,True,complete,review_complete,unavailable,1,5,69,6,310027
run3_K8,8,3,True,complete,review_complete,unavailable,1,5,67,6,360503
