jaccard_threshold,overlap_threshold,relation_component_count,recurrent_relation_component_count,cohesive_family_count,cohesive_family_sizes
0.5,0.8,11,6,11,"[67, 45, 42, 30, 23, 19, 18, 17, 15, 14, 13]"
0.5,1.0,20,7,10,"[40, 30, 29, 28, 26, 17, 16, 15, 14, 13]"
0.6666666666666666,0.8,18,7,9,"[42, 34, 32, 18, 18, 18, 15, 14, 13]"
0.6666666666666666,1.0,24,6,8,"[40, 32, 30, 28, 16, 15, 14, 13]"
0.75,0.8,24,5,7,"[40, 34, 31, 16, 16, 15, 14]"
0.75,1.0,26,5,6,"[40, 32, 28, 16, 15, 14]"
