threshold,core_count,core_patient_count,core_sizes
0.5,5,72,"[25, 17, 12, 10, 8]"
0.6666666666666666,6,67,"[18, 14, 11, 10, 7, 7]"
0.75,6,57,"[18, 10, 9, 9, 6, 5]"
0.8,6,57,"[18, 10, 9, 9, 6, 5]"
