run_id,initial_k,repeat,valid_for_analysis,raw_control_status,review_status,partition_assessment,rounds_used,accepted_set_count,accepted_patient_count,api_calls,total_tokens
run1_K2,2,1,True,complete,review_complete,unavailable,1,2,103,4,70936
run1_K3,3,1,True,complete,review_complete,unavailable,1,2,73,4,100499
run1_K4,4,1,True,complete,review_complete,unavailable,1,3,85,4,138755
run1_K5,5,1,True,complete,review_complete,unavailable,1,3,67,4,175593
run1_K6,6,1,True,complete,review_complete,unavailable,1,3,51,4,214089
run1_K7,7,1,True,complete,review_complete,unavailable,1,5,69,4,262757
run1_K8,8,1,True,complete,review_complete,unavailable,1,4,58,4,314777
run2_K2,2,2,True,complete,review_complete,unavailable,1,2,103,4,75207
run2_K3,3,2,True,complete,review_complete,unavailable,1,2,73,4,97847
run2_K4,4,2,True,complete,review_complete,unavailable,1,3,85,4,137257
run2_K5,5,2,True,complete,review_complete,unavailable,1,3,67,4,177870
run2_K6,6,2,True,complete,review_complete,unavailable,1,3,51,4,211039
run2_K7,7,2,True,complete,review_complete,unavailable,1,5,69,4,264945
run2_K8,8,2,True,complete,review_complete,unavailable,1,4,53,4,310414
run3_K2,2,3,True,complete,review_complete,unavailable,1,2,103,4,73281
run3_K3,3,3,True,complete,review_complete,unavailable,1,2,73,4,99984
run3_K4,4,3,True,complete,review_complete,unavailable,1,3,85,4,137901
run3_K5,5,3,True,complete,review_complete,unavailable,1,3,67,4,169785
run3_K6,6,3,True,complete,review_complete,unavailable,1,3,51,4,225167
run3_K7,7,3,True,complete,review_complete,unavailable,1,5,69,4,271377
run3_K8,8,3,True,complete,review_complete,unavailable,1,5,67,4,312072
