initial_k,set_id,repeat1_action,repeat2_action,repeat3_action,accept_count,drop_count,split_count,merge_count,decision_agreement_fraction,source_sha256_equal,input_data_signature_equal,review_signature_equal,raw_evidence_equal,decision_discordant,repeat1_rna_significant_count,repeat1_wxs_significant_count,repeat1_cnv_significant_count,repeat1_ct_silhouette,repeat1_wsi_silhouette,repeat1_rna_silhouette,repeat1_genomic_silhouette,repeat1_fused_internal_silhouette,repeat1_resampling_ari,repeat1_pac,repeat1_technical_confound_q05_count,repeat2_rna_significant_count,repeat2_wxs_significant_count,repeat2_cnv_significant_count,repeat2_ct_silhouette,repeat2_wsi_silhouette,repeat2_rna_silhouette,repeat2_genomic_silhouette,repeat2_fused_internal_silhouette,repeat2_resampling_ari,repeat2_pac,repeat2_technical_confound_q05_count,repeat3_rna_significant_count,repeat3_wxs_significant_count,repeat3_cnv_significant_count,repeat3_ct_silhouette,repeat3_wsi_silhouette,repeat3_rna_silhouette,repeat3_genomic_silhouette,repeat3_fused_internal_silhouette,repeat3_resampling_ari,repeat3_pac,repeat3_technical_confound_q05_count
3,C0001,drop,accept,drop,1,2,0,0,0.6666666666666666,True,True,False,True,True,25,0,0,-0.00025,0.004901,0.01138,-7.2e-05,0.000464,0.866246,0.230441,0,25,0,0,-0.00025,0.004901,0.01138,-7.2e-05,0.000464,0.866246,0.230441,0,25,0,0,-0.00025,0.004901,0.01138,-7.2e-05,0.000464,0.866246,0.230441,0
3,C0003,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True,31,0,10,0.000602,0.001714,0.032949,1.8e-05,0.000641,0.60333,0.529412,0,31,0,10,0.000602,0.001714,0.032949,1.8e-05,0.000641,0.60333,0.529412,0,31,0,10,0.000602,0.001714,0.032949,1.8e-05,0.000641,0.60333,0.529412,0
4,C0001,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True,31,1,0,-0.006392,-0.007864,0.021908,-7.5e-05,0.000385,0.524957,0.753695,0,31,1,0,-0.006392,-0.007864,0.021908,-7.5e-05,0.000385,0.524957,0.753695,0,31,1,0,-0.006392,-0.007864,0.021908,-7.5e-05,0.000385,0.524957,0.753695,0
4,C0002,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True,24,0,4,-0.002446,0.011753,0.020134,-7.1e-05,0.0007,0.704355,0.433712,3,24,0,4,-0.002446,0.011753,0.020134,-7.1e-05,0.0007,0.704355,0.433712,3,24,0,4,-0.002446,0.011753,0.020134,-7.1e-05,0.0007,0.704355,0.433712,3
6,C0006,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True,9,1,0,9.5e-05,0.012828,0.027145,0.000261,0.000497,0.555556,0.681818,0,9,1,0,9.5e-05,0.012828,0.027145,0.000261,0.000497,0.555556,0.681818,0,9,1,0,9.5e-05,0.012828,0.027145,0.000261,0.000497,0.555556,0.681818,0
8,C0003,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True,2,0,1,-0.011224,0.047856,0.028747,-0.000251,0.000905,0.642217,0.431579,0,2,0,1,-0.011224,0.047856,0.028747,-0.000251,0.000905,0.642217,0.431579,0,2,0,1,-0.011224,0.047856,0.028747,-0.000251,0.000905,0.642217,0.431579,0
8,C0007,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True,14,0,0,-0.008087,-0.006014,0.022267,-0.000465,0.000711,0.494845,0.690909,0,14,0,0,-0.008087,-0.006014,0.022267,-0.000465,0.000711,0.494845,0.690909,0,14,0,0,-0.008087,-0.006014,0.022267,-0.000465,0.000711,0.494845,0.690909,0
