initial_k,set_id,repeat1_action,repeat2_action,repeat3_action,accept_count,drop_count,split_count,merge_count,decision_agreement_fraction,source_sha256_equal,input_data_signature_equal,review_signature_equal,raw_evidence_equal,decision_discordant
2,C0001,accept,accept,accept,3,0,0,0,1.0,True,True,False,True,False
2,C0002,accept,accept,accept,3,0,0,0,1.0,True,True,False,True,False
3,C0001,drop,accept,drop,1,2,0,0,0.6666666666666666,True,True,False,True,True
3,C0002,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
3,C0003,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True
4,C0001,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True
4,C0002,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True
4,C0003,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
4,C0004,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
5,C0001,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
5,C0002,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
5,C0003,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
5,C0004,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
5,C0005,accept,accept,accept,3,0,0,0,1.0,True,True,False,True,False
6,C0001,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
6,C0002,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
6,C0003,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
6,C0004,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
6,C0005,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
6,C0006,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True
7,C0001,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
7,C0002,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
7,C0003,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
7,C0004,accept,accept,accept,3,0,0,0,1.0,True,True,False,True,False
7,C0005,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
7,C0006,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
7,C0007,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
8,C0001,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
8,C0002,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
8,C0003,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True
8,C0004,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
8,C0005,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
8,C0006,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
8,C0007,accept,accept,drop,2,1,0,0,0.6666666666666666,True,True,False,True,True
8,C0008,drop,drop,drop,0,3,0,0,1.0,True,True,False,True,False
