patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,21998,0,Clear Cell Renal Cell Carcinoma,0.9041277766227722,True,3.7385254358923703e-07,7.304574736285283e-18,0.9041277766227722,1.194433774109882e-09,0.048761267215013504,1.4072262274567038e-05,0.04440780356526375,8.044139008234197e-07,8.168253407347947e-05,0.002606229390949011
1,22254,0,Clear Cell Renal Cell Carcinoma,0.9958838820457458,True,3.5168618239822536e-08,1.2579234542924564e-27,0.9958838820457458,5.05134344963088e-16,4.175895355729153e-06,4.0089256359010506e-09,0.001193731906823814,4.8195707136582805e-14,1.8063186871586367e-05,0.0029000036884099245
2,22510,0,Clear Cell Renal Cell Carcinoma,0.9993441700935364,True,1.6477235131873158e-09,2.3968735311797702e-29,0.9993441700935364,5.318209889875198e-19,1.231398130130401e-07,8.160639275445192e-09,0.0004755397967528552,6.075426399893826e-16,4.873197030974552e-05,0.0001313808315899223
3,22766,0,Clear Cell Renal Cell Carcinoma,0.9988189339637756,True,1.4539325299267603e-08,7.039220381808769e-29,0.9988189339637756,1.476488054344803e-19,1.2547686765174149e-06,6.73806326290105e-08,0.0007170704193413258,2.980161419290778e-14,5.718104148400016e-05,0.0004054574528709054
4,23022,0,Clear Cell Renal Cell Carcinoma,0.9940415024757385,True,5.5418958311292954e-08,9.75073101160986e-28,0.9940415024757385,2.0439070453368778e-17,3.525902138790116e-05,8.877457275957568e-07,0.0005253010313026607,4.84774926364645e-13,3.535633368301205e-05,0.005361633840948343
5,23277,0,Clear Cell Renal Cell Carcinoma,0.9723736047744751,True,6.165713273276197e-08,1.1349065087281688e-27,0.9723736047744751,6.264640788641779e-18,2.96627313218778e-05,6.969832156755729e-06,0.0002584720205049962,6.639501773895995e-13,4.168086888967082e-05,0.02728954516351223
6,23533,0,Clear Cell Renal Cell Carcinoma,0.9893020987510681,True,3.3918152553269465e-07,5.430329802629268e-29,0.9893020987510681,4.544613003427589e-19,3.383848161320202e-05,1.3631446336148656e-06,0.00040534348227083683,8.241696171015778e-13,3.0078404961386696e-05,0.010226906277239323
7,23789,0,Clear Cell Renal Cell Carcinoma,0.9907653331756592,True,4.737102301533014e-07,1.5825516816306822e-28,0.9907653331756592,8.683070399924291e-18,0.00026115411310456693,8.038433634283138e-07,0.00043011727393604815,2.9627408165699975e-11,1.188248825201299e-05,0.008530111983418465
8,24045,0,Clear Cell Renal Cell Carcinoma,0.9760292172431946,True,6.838009767307085e-07,3.607106163279931e-27,0.9760292172431946,1.4811072531900886e-16,0.0007931463769637048,9.03900797766255e-07,0.0008264328935183585,3.3827154966026285e-10,2.398943979642354e-05,0.022325599566102028
9,24301,0,Clear Cell Renal Cell Carcinoma,0.9920781254768372,True,6.449933365182403e-10,2.7768168904841884e-30,0.9920781254768372,2.7054906487501584e-19,5.435324783320539e-05,2.631131565067335e-06,0.000718223222065717,1.401574575799966e-13,2.1181651845836313e-06,0.007144450675696135
10,24556,0,Clear Cell Renal Cell Carcinoma,0.9924803972244263,True,6.232200977507318e-09,3.911334531387094e-28,0.9924803972244263,4.3680655291846815e-16,0.0004776607092935592,2.685820436454378e-05,0.0026349422987550497,4.598580630871263e-13,2.530087294871919e-05,0.004354896489530802
